year,test_rows,kept_rows,real_yield_rank250_le_q20,events,pf_x4,pf_x6,total_x4,total_x6,win_rate_x4,median_x4,avg_x4,scope_type,scope_value,macro_feature,macro_gate,overlay_name,london_range_ge_q40,prior_day_range_ge_q30,us10y_rank250_le_q30,london_range_ge_q60,prior_day_range_ge_q25,us10y_rank250_le_q20,real_yield_z60_le_q20,oil_rank250_le_q30,real_yield_ret_1_le_q30,dxy_ret_5_le_q30,dxy_chg_5_le_q30,real_yield_chg_5_le_q30,us10y_ret_5_le_q30,us10y_chg_5_le_q30,spx_chg_5_ge_q70
2025,38,12,,12.0,inf,inf,60.07202,51.67202,1.0,3.141785,5.006001666666667,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_z60,real_yield_z60_le_q20,london_q40_prior_q30,10.64799999999991,15.211999999999808,,,,,-1.069561475397509,,,,,,,,
2026,8,2,,2.0,inf,inf,54.46742,53.06742,1.0,27.23371,27.23371,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_z60,real_yield_z60_le_q20,london_q40_prior_q30,11.519999999999982,15.55599999999995,,,,,-1.235345933944265,,,,,,,,
2023,50,18,,18.0,3.115335495471274,1.2897163628964017,15.105780000000005,2.5057800000000086,0.8888888888888888,1.0471400000000002,0.8392100000000002,family,london_oneway_continuation,real_yield_z60,real_yield_z60_le_q20,london_q40_prior_q30,8.876000000000024,9.868999999999906,,,,,-0.0396735903123169,,,,,,,,
2024,50,24,,24.0,inf,18.944089672082622,30.11918,13.31918000000001,1.0,1.1182850000000002,1.2549658333333333,family,london_oneway_continuation,real_yield_z60,real_yield_z60_le_q20,london_q40_prior_q30,9.139999999999967,11.819999999999936,,,,,-0.4609027343048336,,,,,,,,
2025,38,12,,12.0,inf,inf,60.07202,51.67202,1.0,3.141785,5.006001666666667,family,london_oneway_continuation,real_yield_z60,real_yield_z60_le_q20,london_q40_prior_q30,10.64799999999991,15.211999999999808,,,,,-1.069561475397509,,,,,,,,
2026,8,2,,2.0,inf,inf,54.46742,53.06742,1.0,27.23371,27.23371,family,london_oneway_continuation,real_yield_z60,real_yield_z60_le_q20,london_q40_prior_q30,11.519999999999982,15.55599999999995,,,,,-1.235345933944265,,,,,,,,
2023,50,10,,10.0,1.507178102763972,0.589566872961121,3.4042200000000005,-3.595779999999996,0.8,1.15129,0.34042200000000006,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,oil_rank250,oil_rank250_le_q30,macro_only,,,,,,,,0.0410958904109589,,,,,,,
2024,50,6,,6.0,0.37049382122421515,0.08921303555536733,-6.545919999999998,-10.745919999999998,0.6666666666666666,0.84829,-1.0909866666666663,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,oil_rank250,oil_rank250_le_q30,macro_only,,,,,,,,0.0688844086021505,,,,,,,
2025,38,20,,20.0,10.964207277744666,8.468378303079659,97.63568,83.63568,0.9,4.79136,4.881784,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,oil_rank250,oil_rank250_le_q30,macro_only,,,,,,,,0.1048387096774193,,,,,,,
2026,8,0,,,,,,,,,,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,oil_rank250,oil_rank250_le_q30,macro_only,,,,,,,,0.08679999999999997,,,,,,,
2023,50,10,,10.0,1.507178102763972,0.589566872961121,3.4042200000000005,-3.595779999999996,0.8,1.15129,0.34042200000000006,family,london_oneway_continuation,oil_rank250,oil_rank250_le_q30,macro_only,,,,,,,,0.0410958904109589,,,,,,,
2024,50,6,,6.0,0.37049382122421515,0.08921303555536733,-6.545919999999998,-10.745919999999998,0.6666666666666666,0.84829,-1.0909866666666663,family,london_oneway_continuation,oil_rank250,oil_rank250_le_q30,macro_only,,,,,,,,0.0688844086021505,,,,,,,
2025,38,20,,20.0,10.964207277744666,8.468378303079659,97.63568,83.63568,0.9,4.79136,4.881784,family,london_oneway_continuation,oil_rank250,oil_rank250_le_q30,macro_only,,,,,,,,0.1048387096774193,,,,,,,
2026,8,0,,,,,,,,,,family,london_oneway_continuation,oil_rank250,oil_rank250_le_q30,macro_only,,,,,,,,0.08679999999999997,,,,,,,
2023,50,4,,4.0,inf,0.9642948717948728,2.7665799999999994,-0.033419999999999006,1.0,0.691645,0.6916449999999998,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_ret_1,real_yield_ret_1_le_q30,macro_only,,,,,,,,,-0.036182336182336135,,,,,,
2024,50,12,,12.0,1.0617492907630912,0.3584981485677243,0.6421000000000028,-7.757899999999996,0.8333333333333334,0.77179,0.05350833333333357,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_ret_1,real_yield_ret_1_le_q30,macro_only,,,,,,,,,-0.0126582278481012,,,,,,
2025,38,8,,8.0,inf,inf,49.33058,43.73058,1.0,4.046285,6.1663225,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_ret_1,real_yield_ret_1_le_q30,macro_only,,,,,,,,,-0.011913839736696276,,,,,,
2026,8,4,,4.0,inf,inf,43.95058,41.150580000000005,1.0,10.987645,10.987645,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_ret_1,real_yield_ret_1_le_q30,macro_only,,,,,,,,,-0.010204081632653,,,,,,
2023,50,4,,4.0,inf,0.9642948717948728,2.7665799999999994,-0.033419999999999006,1.0,0.691645,0.6916449999999998,family,london_oneway_continuation,real_yield_ret_1,real_yield_ret_1_le_q30,macro_only,,,,,,,,,-0.036182336182336135,,,,,,
2024,50,12,,12.0,1.0617492907630912,0.3584981485677243,0.6421000000000028,-7.757899999999996,0.8333333333333334,0.77179,0.05350833333333357,family,london_oneway_continuation,real_yield_ret_1,real_yield_ret_1_le_q30,macro_only,,,,,,,,,-0.0126582278481012,,,,,,
2025,38,8,,8.0,inf,inf,49.33058,43.73058,1.0,4.046285,6.1663225,family,london_oneway_continuation,real_yield_ret_1,real_yield_ret_1_le_q30,macro_only,,,,,,,,,-0.011913839736696276,,,,,,
2026,8,4,,4.0,inf,inf,43.95058,41.150580000000005,1.0,10.987645,10.987645,family,london_oneway_continuation,real_yield_ret_1,real_yield_ret_1_le_q30,macro_only,,,,,,,,,-0.010204081632653,,,,,,
2023,50,14,,14.0,2.1263282304637396,0.7968801306034867,8.043200000000002,-1.756799999999994,0.8571428571428571,1.0407100000000002,0.5745142857142859,family,london_oneway_continuation,dxy_ret_5,dxy_ret_5_le_q30,london_q40_prior_q30,8.876000000000024,9.868999999999906,,,,,,,,-0.0018876891926203705,,,,,
2024,50,2,,2.0,inf,inf,2.2991400000000004,0.8991400000000008,1.0,1.1495700000000002,1.1495700000000002,family,london_oneway_continuation,dxy_ret_5,dxy_ret_5_le_q30,london_q40_prior_q30,9.139999999999967,11.819999999999936,,,,,,,,-0.0035718894063273,,,,,
2025,38,14,,14.0,inf,inf,87.01744,77.21744,1.0,5.122859999999999,6.2155314285714285,family,london_oneway_continuation,dxy_ret_5,dxy_ret_5_le_q30,london_q40_prior_q30,10.64799999999991,15.211999999999808,,,,,,,,-0.00204153925295227,,,,,
2026,8,0,,,,,,,,,,family,london_oneway_continuation,dxy_ret_5,dxy_ret_5_le_q30,london_q40_prior_q30,11.519999999999982,15.55599999999995,,,,,,,,-0.002747521379852,,,,,
2023,50,14,,14.0,2.1263282304637396,0.7968801306034867,8.043200000000002,-1.756799999999994,0.8571428571428571,1.0407100000000002,0.5745142857142859,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,dxy_ret_5,dxy_ret_5_le_q30,london_q40_prior_q30,8.876000000000024,9.868999999999906,,,,,,,,-0.0018876891926203705,,,,,
2024,50,2,,2.0,inf,inf,2.2991400000000004,0.8991400000000008,1.0,1.1495700000000002,1.1495700000000002,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,dxy_ret_5,dxy_ret_5_le_q30,london_q40_prior_q30,9.139999999999967,11.819999999999936,,,,,,,,-0.0035718894063273,,,,,
2025,38,14,,14.0,inf,inf,87.01744,77.21744,1.0,5.122859999999999,6.2155314285714285,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,dxy_ret_5,dxy_ret_5_le_q30,london_q40_prior_q30,10.64799999999991,15.211999999999808,,,,,,,,-0.00204153925295227,,,,,
