stage,family,candidate,side,horizon_bars,horizon_minutes,entry_i,entry_ts_utc,exit_ts_utc,entry_close,exit_close,cost_return_bps,slip16_return_bps,mae_bps,mfe_bps,touch_stop_50bps,touch_stop_75bps,year,quarter,hour_utc,weekday,trend_fast_bps,trend_slow_bps,atr_24h_bps,atr_ratio_4h_24h
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,36169,2023-10-16 08:45:00+00:00,2023-10-16 10:45:00+00:00,1914.72,1911.26,10.070527283362559,-5.9294727166374415,-4.648199214505322,35.044288459931124,False,False,2023,2023Q4,8,0,38.58048870504861,-21.686999274046297,14.169109600822194,0.4979311501437801
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,36177,2023-10-16 10:45:00+00:00,2023-10-16 12:45:00+00:00,1911.26,1916.0,-32.80039345772012,-48.80039345772012,-26.73628914956483,8.005190293314257,False,False,2023,2023Q4,10,0,2.729983536166971,-16.040329198190538,14.501329135784076,0.7209216281225169
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,37150,2023-10-30 11:00:00+00:00,2023-10-30 13:00:00+00:00,1992.31,1993.98,-16.38222967309399,-32.38222967309399,-25.347460987497072,0.7528948808155356,False,False,2023,2023Q4,11,0,3.2599302652018216,365.46152769900283,13.553322840092806,0.7844854988728174
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,37160,2023-10-30 13:30:00+00:00,2023-10-30 15:30:00+00:00,1993.84,1997.81,-27.911326886812297,-43.9113268868123,-43.584239457530316,0.10030895157053799,False,False,2023,2023Q4,13,0,-12.952393371583248,362.8165113131776,13.475466175719356,0.7981197454827783
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,38616,2023-11-20 15:30:00+00:00,2023-11-20 17:30:00+00:00,1968.35,1970.83,-20.5993852719275,-36.5993852719275,-23.369827520511866,14.783956105366425,False,False,2023,2023Q4,15,0,-26.561481274502903,-30.058488073766494,9.561756314482095,1.1308806445197677
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,39371,2023-11-30 15:45:00+00:00,2023-11-30 17:45:00+00:00,2036.86,2037.9,-13.105898294435196,-29.105898294435196,-14.581267244679896,28.426106850740762,False,False,2023,2023Q4,15,3,-23.51658925993914,177.3892576482102,9.224828807406467,1.317134999878768
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,40034,2023-12-11 11:30:00+00:00,2023-12-11 13:30:00+00:00,1992.11,1994.23,-18.641982621442114,-34.64198262144211,-15.310399526131668,4.618218873454483,False,False,2023,2023Q4,11,0,-42.970037631791726,89.37432650974642,12.586538148330057,0.9989156826728469
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,40050,2023-12-11 15:30:00+00:00,2023-12-11 17:30:00+00:00,1992.25,1982.42,41.341197138912385,25.341197138912385,-10.942401807001456,57.97465177563077,False,False,2023,2023Q4,15,0,-30.439829338687048,75.40613104948304,11.098057750149835,0.9330846187745631
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,41696,2024-01-05 16:00:00+00:00,2024-01-05 18:00:00+00:00,2039.64,2055.72,-86.83744190151143,-102.83744190151143,-119.04061501049279,0.4412543390019952,True,True,2024,2024Q1,16,4,-20.317106613584272,94.26219210252576,9.60043489889746,1.7615658210224412
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,41762,2024-01-08 07:30:00+00:00,2024-01-08 09:30:00+00:00,2029.26,2030.81,-15.638252367858644,-31.638252367858644,-19.36666568108647,3.5973704700231757,False,False,2024,2024Q1,7,0,-24.632337239518822,74.54051394761318,13.316085565319296,0.812996973246608
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,41770,2024-01-08 09:30:00+00:00,2024-01-08 11:30:00+00:00,2030.81,2029.43,-1.2046818757058748,-17.204681875705873,-10.143735750758331,20.681402986986175,False,False,2024,2024Q1,9,0,-43.763325963530896,71.33501636457092,13.404405577685791,0.8455430168094407
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,41778,2024-01-08 11:30:00+00:00,2024-01-08 13:30:00+00:00,2029.43,2020.15,37.72712535046763,21.72712535046763,-10.643382624677677,63.56464623071601,False,False,2024,2024Q1,11,0,-53.769202846775485,68.5148251807996,13.694503917602887,0.8127645836161325
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,41786,2024-01-08 13:30:00+00:00,2024-01-08 15:30:00+00:00,2020.15,2022.13,-17.801252382248826,-33.801252382248826,-25.04764497685885,6.880677177437677,False,False,2024,2024Q1,13,0,-62.76297552162018,65.59947590525468,14.22569906504478,0.9156477657592924
