variant,family,side,horizon_bars,horizon_minutes,cooldown_bars,params_json,decision,score,reasons,events,freq_per_month,total_x1,median_x1,wr_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,test20_events,test20_total,test20_median,test20_pf,test30_events,test30_total,test30_pf,events_2026,total_2026,median_2026,pf_2026,pos_years,years,pos_quarters,quarters,boot_total_p05,boot_pf_p05,boot_prob_total_gt_0,boot_prob_pf_gt_1
pdl_sweep_reclaim_long_sweep2_reclaim1.55_new_york_only_h4_cool0,pdl_sweep_reclaim_refined,LONG,4,60,0,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,73,2.085714,8.82,-1.24,0.438356,1.039265,-94.83,-16.73,0.930088,-67.83,0.748097,15,96.17,7.83,3.849481,22,63.27,1.814181,5,52.82,11.64,34.858974,3,5,6,17,-123.236,0.552767,0.52,0.52
pdl_sweep_reclaim_long_sweep2_reclaim2_new_york_only_h3_cool4,pdl_sweep_reclaim_refined,LONG,3,45,4,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,79,2.135135,5.44,-0.72,0.455696,1.024551,-73.33,-22.21,0.90614,-77.51,0.711537,16,58.37,3.215,3.016235,24,45.74,1.644861,4,13.42,3.185,2.796519,4,5,8,17,-115.3585,0.57679,0.5,0.5
pdl_sweep_reclaim_long_sweep2_reclaim1.55_new_york_only_h3_cool4,pdl_sweep_reclaim_refined,LONG,3,45,4,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,70,2.0,4.04,-0.87,0.442857,1.021317,-73.33,-20.46,0.899296,-69.46,0.70117,14,59.95,3.215,3.662078,21,54.29,1.992686,4,13.42,3.185,2.796519,4,5,7,17,-95.7285,0.58757,0.47,0.47
pdl_sweep_reclaim_long_sweep1.25_reclaim1_new_york_only_h8_cool4,pdl_sweep_reclaim_refined,LONG,8,120,4,"{""reclaim_max"": 1.0, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 1.25}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,66,1.885714,3.37,-0.79,0.439394,1.015347,-89.26,-19.73,0.915267,-65.93,0.745964,14,5.08,-0.375,1.077427,20,-22.16,0.782061,2,6.83,3.415,999.0,3,5,9,17,-113.2055,0.577258,0.515,0.515
pdl_sweep_reclaim_long_sweep2_reclaim1.55_new_york_only_h8_cool0,pdl_sweep_reclaim_refined,LONG,8,120,0,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,69,1.971429,3.25,-0.63,0.463768,1.01243,-81.95,-20.9,0.923923,-69.2,0.770344,14,70.73,2.25,2.417435,21,2.93,1.024009,4,15.77,9.3,1.61698,4,5,5,17,-143.5325,0.578217,0.495,0.495
pdl_sweep_reclaim_long_sweep3_reclaim1_new_york_only_h6_cool4,pdl_sweep_reclaim_refined,LONG,6,90,4,"{""reclaim_max"": 1.0, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 3.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,30,1.363636,0.28,-1.18,0.433333,1.002717,-62.04,-10.22,0.90641,-31.22,0.743678,6,58.04,10.575,5.18759,9,22.31,1.449889,1,8.4,8.4,999.0,3,5,5,14,-78.8515,0.423181,0.47,0.47
pdl_sweep_reclaim_long_sweep2.5_reclaim3_new_york_only_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 3.0, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.5}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,78,2.0,-0.03,-0.36,0.487179,0.999883,-58.86,-27.33,0.898695,-81.93,0.727454,16,29.55,1.08,1.417727,24,32.66,1.361044,9,21.35,7.44,1.531227,4,5,7,17,-139.6255,0.564809,0.54,0.54
pdl_sweep_reclaim_long_sweep2_reclaim1.55_new_york_only_h8_cool4,pdl_sweep_reclaim_refined,LONG,8,120,4,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,67,1.914286,-1.36,-0.63,0.462687,0.994841,-88.49,-24.81,0.910274,-71.71,0.762872,14,70.31,2.04,2.409018,21,-8.88,0.93241,4,15.77,9.3,1.61698,3,5,5,17,-163.4755,0.50604,0.475,0.475
pdl_sweep_reclaim_long_sweep2_reclaim1.55_new_york_only_h4_cool4,pdl_sweep_reclaim_refined,LONG,4,60,4,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,69,1.971429,-6.24,-1.24,0.434783,0.969997,-84.07,-30.39,0.863077,-78.69,0.685893,14,74.01,5.28,3.656497,21,34.91,1.469473,4,29.14,5.75,19.679487,3,5,5,17,-119.642,0.564338,0.505,0.505
pdl_sweep_reclaim_long_sweep3_reclaim1_new_york_only_h6_cool0,pdl_sweep_reclaim_refined,LONG,6,90,0,"{""reclaim_max"": 1.0, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 3.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,31,1.409091,-3.33,-1.25,0.419355,0.968782,-62.64,-14.18,0.874691,-35.88,0.716274,7,48.72,8.4,3.101812,10,20.26,1.392332,1,8.4,8.4,999.0,3,5,5,14,-96.538,0.35261,0.415,0.415
