thesis,variant,signal_utc,entry_utc,direction,session,entry_price,tp_price,sl_price,exit_utc,exit_price,exit_reason,net_usd_x1,macro_labels,year
baseline_sma_distance_v1_control,unguarded,2023-01-13T14:00:00+00:00,2023-01-13T15:00:00+00:00,long,london_ny_overlap,1910.98,1934.98,1895.98,2023-01-13T20:58:00+00:00,1920.75,time_exit,9.42,,2023
baseline_sma_distance_v1_control,unguarded,2023-01-18T13:00:00+00:00,2023-01-18T14:00:00+00:00,long,london_ny_overlap,1921.13,1945.13,1906.13,2023-01-18T16:44:00+00:00,1906.13,stop_loss,-15.35,,2023
baseline_sma_distance_v1_control,unguarded,2023-01-19T19:00:00+00:00,2023-01-19T20:00:00+00:00,long,new_york,1929.49,1953.49,1914.49,2023-01-20T07:59:00+00:00,1932.94,time_exit,3.1,,2023
baseline_sma_distance_v1_control,unguarded,2023-01-25T19:00:00+00:00,2023-01-25T20:00:00+00:00,long,new_york,1942.19,1966.19,1927.19,2023-01-26T07:59:00+00:00,1942.76,time_exit,0.22,,2023
baseline_sma_distance_v1_control,unguarded,2023-01-31T14:00:00+00:00,2023-01-31T15:00:00+00:00,long,london_ny_overlap,1924.53,1948.53,1909.53,2023-02-01T02:59:00+00:00,1925.16,time_exit,0.28,,2023
baseline_sma_distance_v1_control,unguarded,2023-02-01T19:00:00+00:00,2023-02-01T20:00:00+00:00,long,new_york,1942.76,1966.76,1927.76,2023-02-02T07:59:00+00:00,1955.31,time_exit,12.2,,2023
baseline_sma_distance_v1_control,unguarded,2023-02-17T16:00:00+00:00,2023-02-17T17:00:00+00:00,long,new_york,1839.51,1863.51,1824.51,2023-02-17T20:58:00+00:00,1841.31,time_exit,1.45,,2023
baseline_sma_distance_v1_control,unguarded,2023-02-28T15:00:00+00:00,2023-02-28T16:00:00+00:00,long,london_ny_overlap,1824.06,1848.06,1809.06,2023-03-01T03:59:00+00:00,1830.95,time_exit,6.54,,2023
baseline_sma_distance_v1_control,unguarded,2023-03-09T14:00:00+00:00,2023-03-09T15:00:00+00:00,long,london_ny_overlap,1831.31,1855.31,1816.31,2023-03-10T02:59:00+00:00,1829.41,time_exit,-2.25,,2023
baseline_sma_distance_v1_control,unguarded,2023-03-10T14:00:00+00:00,2023-03-10T15:00:00+00:00,long,london_ny_overlap,1858.36,1882.36,1843.36,2023-03-10T20:58:00+00:00,1869.68,time_exit,10.97,,2023
baseline_sma_distance_v1_control,unguarded,2023-03-12T22:00:00+00:00,2023-03-12T23:00:00+00:00,long,other,1883.77,1907.77,1868.77,2023-03-13T10:59:00+00:00,1884.13,time_exit,0.01,,2023
baseline_sma_distance_v1_control,unguarded,2023-03-13T12:00:00+00:00,2023-03-13T13:00:00+00:00,long,london_ny_overlap,1899.34,1923.34,1884.34,2023-03-14T00:59:00+00:00,1912.41,time_exit,12.72,,2023
baseline_sma_distance_v1_control,unguarded,2023-03-15T11:00:00+00:00,2023-03-15T12:00:00+00:00,long,london,1917.95,1941.95,1902.95,2023-03-15T23:59:00+00:00,1921.14,time_exit,2.84,,2023
baseline_sma_distance_v1_control,unguarded,2023-03-16T12:00:00+00:00,2023-03-16T13:00:00+00:00,long,london_ny_overlap,1930.33,1954.33,1915.33,2023-03-16T15:23:00+00:00,1915.33,stop_loss,-15.35,,2023
baseline_sma_distance_v1_control,unguarded,2023-03-17T12:00:00+00:00,2023-03-17T13:00:00+00:00,long,london_ny_overlap,1944.89,1968.89,1929.89,2023-03-17T17:31:00+00:00,1968.89,take_profit,23.65,,2023
baseline_sma_distance_v1_control,unguarded,2023-03-17T17:00:00+00:00,2023-03-17T18:00:00+00:00,long,new_york,1972.71,1996.71,1957.71,2023-03-17T20:58:00+00:00,1988.89,time_exit,15.83,,2023
baseline_sma_distance_v1_control,unguarded,2023-03-20T05:00:00+00:00,2023-03-20T06:00:00+00:00,long,asia,1988.07,2012.07,1973.07,2023-03-20T12:52:00+00:00,1973.07,stop_loss,-15.35,,2023
baseline_sma_distance_v1_control,unguarded,2023-03-22T18:00:00+00:00,2023-03-22T19:00:00+00:00,long,new_york,1970.76,1994.76,1955.76,2023-03-22T19:08:00+00:00,1955.76,stop_loss,-15.35,,2023
baseline_sma_distance_v1_control,unguarded,2023-03-22T19:00:00+00:00,2023-03-22T20:00:00+00:00,long,new_york,1972.61,1996.61,1957.61,2023-03-23T07:59:00+00:00,1976.74,time_exit,3.78,,2023
baseline_sma_distance_v1_control,unguarded,2023-03-23T16:00:00+00:00,2023-03-23T17:00:00+00:00,long,new_york,1994.15,2018.15,1979.15,2023-03-24T04:59:00+00:00,1993.18,time_exit,-1.32,,2023
baseline_sma_distance_v1_control,unguarded,2023-03-28T15:00:00+00:00,2023-03-28T16:00:00+00:00,long,london_ny_overlap,1969.09,1993.09,1954.09,2023-03-29T03:59:00+00:00,1968.41,time_exit,-1.03,,2023
baseline_sma_distance_v1_control,unguarded,2023-03-30T17:00:00+00:00,2023-03-30T18:00:00+00:00,long,new_york,1983.1,2007.1,1968.1,2023-03-31T05:59:00+00:00,1980.78,time_exit,-2.67,,2023
