family,design,guard_variant,direction,session,entry_utc,entry_price,realized_exit_reason,realized_net_x1,horizon_hours,mfe_usd,mae_usd,close_move_usd,hit_plus_10,hit_plus_15,hit_plus_24,hit_minus_10,hit_minus_15,hit_minus_20,first_hit_15_15,first_hit_24_15,bars_checked
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-03-09T14:00:00+00:00,1825.06,time_exit,5.29,12,10.53,-1.17,5.98,True,False,False,False,False,False,none,none,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-03-10T14:00:00+00:00,1842.37,take_profit,16.75,3,24.91,-2.47,12.9,True,True,True,False,False,False,tp_first,tp_first,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-03-10T14:00:00+00:00,1842.37,take_profit,16.75,6,24.91,-2.47,21.44,True,True,True,False,False,False,tp_first,tp_first,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-03-10T14:00:00+00:00,1842.37,take_profit,16.75,12,27.59,-2.47,27.31,True,True,True,False,False,False,tp_first,tp_first,419
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-03-22T15:00:00+00:00,1950.31,take_profit,16.75,3,1.49,-5.4,-4.37,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-03-22T15:00:00+00:00,1950.31,take_profit,16.75,6,28.36,-5.4,19.32,True,True,True,False,False,False,tp_first,tp_first,359
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-03-22T15:00:00+00:00,1950.31,take_profit,16.75,12,28.36,-5.4,24.91,True,True,True,False,False,False,tp_first,tp_first,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-03-28T14:00:00+00:00,1965.19,time_exit,7.95,3,4.76,-6.33,1.38,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-03-28T14:00:00+00:00,1965.19,time_exit,7.95,6,9.89,-6.33,7.98,False,False,False,False,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-03-28T14:00:00+00:00,1965.19,time_exit,7.95,12,10.01,-6.33,5.21,True,False,False,False,False,False,none,none,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,asia,2023-03-30T03:00:00+00:00,1959.07,stop_loss,-9.35,3,1.5,-2.26,-1.71,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,asia,2023-03-30T03:00:00+00:00,1959.07,stop_loss,-9.35,6,1.5,-12.39,-7.54,False,False,False,True,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,asia,2023-03-30T03:00:00+00:00,1959.07,stop_loss,-9.35,12,1.5,-16.15,-7.48,False,False,False,True,True,False,sl_first,sl_first,720
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,new_york,2023-03-31T19:00:00+00:00,1967.37,time_exit,-3.19,3,0.22,-4.65,-2.84,False,False,False,False,False,False,none,none,119
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,new_york,2023-03-31T19:00:00+00:00,1967.37,time_exit,-3.19,6,0.22,-4.65,-2.84,False,False,False,False,False,False,none,none,119
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,new_york,2023-03-31T19:00:00+00:00,1967.37,time_exit,-3.19,12,0.22,-4.65,-2.84,False,False,False,False,False,False,none,none,119
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-04-04T15:00:00+00:00,1992.3,take_profit,16.75,3,32.6,0.0,28.36,True,True,True,False,False,False,tp_first,tp_first,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-04-04T15:00:00+00:00,1992.3,take_profit,16.75,6,32.6,0.0,29.47,True,True,True,False,False,False,tp_first,tp_first,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-04-04T15:00:00+00:00,1992.3,take_profit,16.75,12,32.6,0.0,28.18,True,True,True,False,False,False,tp_first,tp_first,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-04-05T14:00:00+00:00,2031.64,stop_loss,-9.35,3,0.34,-21.73,-9.98,False,False,False,True,True,True,sl_first,sl_first,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-04-05T14:00:00+00:00,2031.64,stop_loss,-9.35,6,0.34,-21.73,-8.63,False,False,False,True,True,True,sl_first,sl_first,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-04-05T14:00:00+00:00,2031.64,stop_loss,-9.35,12,0.34,-21.73,-14.64,False,False,False,True,True,True,sl_first,sl_first,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-04-06T15:00:00+00:00,2003.5,stop_loss,-9.35,3,2.18,-11.39,-8.12,False,False,False,True,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-04-06T15:00:00+00:00,2003.5,stop_loss,-9.35,6,2.18,-11.39,-2.86,False,False,False,True,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-04-06T15:00:00+00:00,2003.5,stop_loss,-9.35,12,2.18,-11.39,-3.66,False,False,False,True,False,False,none,none,419
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,asia,2023-04-12T03:00:00+00:00,2014.61,time_exit,-4.01,3,6.43,-0.87,5.65,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,asia,2023-04-12T03:00:00+00:00,2014.61,time_exit,-4.01,6,6.43,-3.07,-1.68,False,False,False,False,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,asia,2023-04-12T03:00:00+00:00,2014.61,time_exit,-4.01,12,13.64,-13.49,-6.9,True,False,False,True,False,False,none,none,720
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-04-14T14:00:00+00:00,2024.4,take_profit,16.75,3,30.63,-3.6,28.81,True,True,True,False,False,False,tp_first,tp_first,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-04-14T14:00:00+00:00,2024.4,take_profit,16.75,6,32.09,-3.6,18.03,True,True,True,False,False,False,tp_first,tp_first,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-04-14T14:00:00+00:00,2024.4,take_profit,16.75,12,32.09,-3.6,19.4,True,True,True,False,False,False,tp_first,tp_first,419
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-04-18T16:00:00+00:00,2009.13,time_exit,-4.06,3,2.65,-5.29,-5.11,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-04-18T16:00:00+00:00,2009.13,time_exit,-4.06,6,2.65,-5.79,-4.0,False,False,False,False,False,False,none,none,359
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-04-18T16:00:00+00:00,2009.13,time_exit,-4.06,12,2.65,-7.21,-4.96,False,False,False,False,False,False,none,none,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london,2023-04-20T12:00:00+00:00,2003.51,time_exit,1.9,3,7.76,-6.11,0.02,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london,2023-04-20T12:00:00+00:00,2003.51,time_exit,1.9,6,8.77,-6.11,2.25,False,False,False,False,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london,2023-04-20T12:00:00+00:00,2003.51,time_exit,1.9,12,8.77,-6.11,1.1,False,False,False,False,False,False,none,none,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london,2023-04-21T07:00:00+00:00,1994.91,take_profit,16.75,3,13.02,-3.05,6.69,True,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london,2023-04-21T07:00:00+00:00,1994.91,take_profit,16.75,6,13.02,-3.05,7.0,True,False,False,False,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london,2023-04-21T07:00:00+00:00,1994.91,take_profit,16.75,12,23.37,-3.05,14.38,True,True,False,False,False,False,tp_first,none,720
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london,2023-04-25T12:00:00+00:00,1982.15,stop_loss,-9.35,3,6.11,-12.29,-2.97,False,False,False,True,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london,2023-04-25T12:00:00+00:00,1982.15,stop_loss,-9.35,6,6.11,-12.29,-8.33,False,False,False,True,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london,2023-04-25T12:00:00+00:00,1982.15,stop_loss,-9.35,12,6.11,-21.6,-15.38,False,False,False,True,True,True,sl_first,sl_first,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-04-27T14:00:00+00:00,1985.8,time_exit,-2.22,3,11.67,-2.99,3.63,True,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-04-27T14:00:00+00:00,1985.8,time_exit,-2.22,6,11.67,-5.21,-3.19,True,False,False,False,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-04-27T14:00:00+00:00,1985.8,time_exit,-2.22,12,11.67,-5.21,-0.08,True,False,False,False,False,False,none,none,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-04-28T16:00:00+00:00,1992.26,time_exit,-3.41,3,2.65,-4.56,-1.68,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-04-28T16:00:00+00:00,1992.26,time_exit,-3.41,6,2.65,-4.86,-3.06,False,False,False,False,False,False,none,none,299
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-04-28T16:00:00+00:00,1992.26,time_exit,-3.41,12,2.65,-4.86,-3.06,False,False,False,False,False,False,none,none,299
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london,2023-05-01T10:00:00+00:00,1977.23,stop_loss,-9.35,3,0.27,-12.65,-11.69,False,False,False,True,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london,2023-05-01T10:00:00+00:00,1977.23,stop_loss,-9.35,6,0.27,-28.69,-7.03,False,False,False,True,True,True,sl_first,sl_first,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london,2023-05-01T10:00:00+00:00,1977.23,stop_loss,-9.35,12,0.27,-28.69,-5.13,False,False,False,True,True,True,sl_first,sl_first,719
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-05-01T14:00:00+00:00,2004.26,stop_loss,-9.35,3,1.66,-23.87,-21.4,False,False,False,True,True,True,sl_first,sl_first,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-05-01T14:00:00+00:00,2004.26,stop_loss,-9.35,6,1.66,-24.44,-23.56,False,False,False,True,True,True,sl_first,sl_first,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-05-01T14:00:00+00:00,2004.26,stop_loss,-9.35,12,1.66,-24.85,-22.2,False,False,False,True,True,True,sl_first,sl_first,658
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london,2023-05-02T12:00:00+00:00,1988.21,take_profit,16.75,3,1.9,-3.79,-1.26,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london,2023-05-02T12:00:00+00:00,1988.21,take_profit,16.75,6,31.1,-3.79,26.82,True,True,True,False,False,False,tp_first,tp_first,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london,2023-05-02T12:00:00+00:00,1988.21,take_profit,16.75,12,31.1,-3.79,27.4,True,True,True,False,False,False,tp_first,tp_first,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-05-02T16:00:00+00:00,2008.48,time_exit,6.78,3,10.83,-1.75,3.73,True,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-05-02T16:00:00+00:00,2008.48,time_exit,6.78,6,10.83,-1.75,8.02,True,False,False,False,False,False,none,none,359
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-05-02T16:00:00+00:00,2008.48,time_exit,6.78,12,10.83,-1.75,8.59,True,False,False,False,False,False,none,none,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-05-03T16:00:00+00:00,2021.17,take_profit,16.75,3,7.38,-1.01,2.24,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-05-03T16:00:00+00:00,2021.17,take_profit,16.75,6,19.12,-4.21,17.29,True,True,False,False,False,False,tp_first,none,359
