definition,guard_variant,geometry,macro_regime_numeric,trades,total_net_x4,median_net_x4,pf_x4,win_rate_x4,max_dd_x4
confirmed_session,macro_blocked_overlap,tp15_sl12_h12,mixed,252,-61.12,-1.055,0.944672,0.456349,-222.13
confirmed_session,macro_blocked_overlap,tp18_sl12_h12,neutral,371,704.56,1.08,1.515402,0.544474,-131.99
confirmed_session,macro_blocked_overlap,tp18_sl12_h12,supportive,88,34.19,-0.465,1.117613,0.465909,-150.91
confirmed_session,macro_blocked_overlap,tp18_sl12_h12,hostile,14,2.41,-1.93,1.041063,0.5,-34.7
confirmed_session,macro_blocked_overlap,tp18_sl12_h12,mixed,252,-0.1,-1.165,0.999911,0.448413,-228.13
confirmed_session,macro_blocked_overlap,tp24_sl15_h12_control,neutral,371,1041.11,1.57,1.765173,0.563342,-143.82
confirmed_session,macro_blocked_overlap,tp24_sl15_h12_control,mixed,252,189.3,-0.59,1.161389,0.468254,-212.24
confirmed_session,macro_blocked_overlap,tp24_sl15_h12_control,supportive,88,44.61,-0.605,1.142574,0.454545,-161.41
confirmed_session,macro_blocked_overlap,tp24_sl15_h12_control,hostile,14,14.49,-1.93,1.247227,0.5,-34.62
confirmed_session,unguarded_nonoverlap,time_exit_12h,neutral,120,422.28,1.495,1.657368,0.558333,-189.12
confirmed_session,unguarded_nonoverlap,time_exit_12h,mixed,67,171.9,-1.17,1.333262,0.477612,-130.5
confirmed_session,unguarded_nonoverlap,time_exit_12h,supportive,28,43.56,0.035,1.5625,0.5,-30.73
confirmed_session,unguarded_nonoverlap,time_exit_12h,hostile,6,35.92,1.955,3.664688,0.666667,-7.96
confirmed_session,unguarded_nonoverlap,tp15_sl12_h12,supportive,31,56.86,0.26,1.713157,0.548387,-26.66
confirmed_session,unguarded_nonoverlap,tp15_sl12_h12,mixed,99,21.44,-1.16,1.043564,0.474747,-141.93
confirmed_session,unguarded_nonoverlap,tp15_sl12_h12,hostile,7,3.48,0.55,1.12595,0.571429,-22.11
confirmed_session,unguarded_nonoverlap,tp15_sl12_h12,neutral,163,1.77,-0.33,1.002149,0.490798,-170.38
confirmed_session,unguarded_nonoverlap,tp18_sl12_h12,neutral,159,127.62,-0.27,1.158373,0.496855,-125.58
confirmed_session,unguarded_nonoverlap,tp18_sl12_h12,mixed,96,58.25,-1.295,1.118358,0.458333,-137.53
confirmed_session,unguarded_nonoverlap,tp18_sl12_h12,supportive,30,54.9,0.24,1.688574,0.533333,-33.02
confirmed_session,unguarded_nonoverlap,tp18_sl12_h12,hostile,7,6.15,0.55,1.222584,0.571429,-22.11
confirmed_session,unguarded_nonoverlap,tp24_sl15_h12_control,neutral,142,328.87,1.305,1.474327,0.542254,-131.2
confirmed_session,unguarded_nonoverlap,tp24_sl15_h12_control,mixed,86,106.24,-0.8,1.22161,0.476744,-138.73
confirmed_session,unguarded_nonoverlap,tp24_sl15_h12_control,supportive,29,18.02,-0.15,1.186504,0.482759,-33.51
confirmed_session,unguarded_nonoverlap,tp24_sl15_h12_control,hostile,7,9.15,0.55,1.298727,0.571429,-25.11
confirmed_session,unguarded_overlap,time_exit_12h,neutral,371,1821.91,1.7,2.169751,0.579515,-250.34
confirmed_session,unguarded_overlap,time_exit_12h,mixed,252,1245.46,-0.65,1.792883,0.460317,-396.97
confirmed_session,unguarded_overlap,time_exit_12h,supportive,88,38.53,-0.605,1.122895,0.443182,-163.67
confirmed_session,unguarded_overlap,time_exit_12h,hostile,14,35.65,-1.93,1.710584,0.5,-29.09
confirmed_session,unguarded_overlap,tp15_sl12_h12,neutral,371,475.45,1.09,1.347803,0.544474,-131.99
confirmed_session,unguarded_overlap,tp15_sl12_h12,supportive,88,17.08,-0.465,1.058755,0.465909,-142.05
confirmed_session,unguarded_overlap,tp15_sl12_h12,hostile,14,-3.26,-1.93,0.944454,0.5,-34.37
confirmed_session,unguarded_overlap,tp15_sl12_h12,mixed,252,-61.12,-1.055,0.944672,0.456349,-222.13
confirmed_session,unguarded_overlap,tp18_sl12_h12,neutral,371,704.56,1.08,1.515402,0.544474,-131.99
confirmed_session,unguarded_overlap,tp18_sl12_h12,supportive,88,34.19,-0.465,1.117613,0.465909,-150.91
confirmed_session,unguarded_overlap,tp18_sl12_h12,hostile,14,2.41,-1.93,1.041063,0.5,-34.7
confirmed_session,unguarded_overlap,tp18_sl12_h12,mixed,252,-0.1,-1.165,0.999911,0.448413,-228.13
confirmed_session,unguarded_overlap,tp24_sl15_h12_control,neutral,371,1041.11,1.57,1.765173,0.563342,-143.82
confirmed_session,unguarded_overlap,tp24_sl15_h12_control,mixed,252,189.3,-0.59,1.161389,0.468254,-212.24
confirmed_session,unguarded_overlap,tp24_sl15_h12_control,supportive,88,44.61,-0.605,1.142574,0.454545,-161.41
confirmed_session,unguarded_overlap,tp24_sl15_h12_control,hostile,14,14.49,-1.93,1.247227,0.5,-34.62
liquidity_session,macro_blocked_nonoverlap,time_exit_12h,neutral,143,623.83,1.98,1.890041,0.573427,-194.1
liquidity_session,macro_blocked_nonoverlap,time_exit_12h,mixed,83,397.05,2.72,1.737627,0.590361,-124.53
liquidity_session,macro_blocked_nonoverlap,time_exit_12h,supportive,29,111.29,0.26,2.746822,0.517241,-19.31
liquidity_session,macro_blocked_nonoverlap,time_exit_12h,hostile,7,72.97,9.91,13.141431,0.857143,-6.01
liquidity_session,macro_blocked_nonoverlap,tp15_sl12_h12,neutral,208,130.38,0.815,1.128447,0.509615,-146.26
liquidity_session,macro_blocked_nonoverlap,tp15_sl12_h12,mixed,132,125.94,2.245,1.199642,0.530303,-161.96
liquidity_session,macro_blocked_nonoverlap,tp15_sl12_h12,supportive,35,116.88,1.56,2.701062,0.571429,-19.09
liquidity_session,macro_blocked_nonoverlap,tp15_sl12_h12,hostile,9,40.28,7.73,2.871747,0.666667,-19.64
liquidity_session,macro_blocked_nonoverlap,tp18_sl12_h12,neutral,199,268.47,1.04,1.276651,0.512563,-101.13
liquidity_session,macro_blocked_nonoverlap,tp18_sl12_h12,mixed,129,197.61,1.94,1.311212,0.51938,-157.76
liquidity_session,macro_blocked_nonoverlap,tp18_sl12_h12,supportive,33,126.8,1.56,2.997165,0.575758,-19.09
liquidity_session,macro_blocked_nonoverlap,tp18_sl12_h12,hostile,9,42.31,7.73,2.681638,0.666667,-19.64
liquidity_session,macro_blocked_nonoverlap,tp24_sl15_h12_control,neutral,180,433.87,1.495,1.487423,0.538889,-162.78
liquidity_session,macro_blocked_nonoverlap,tp24_sl15_h12_control,mixed,112,301.9,2.58,1.563299,0.5625,-165.56
liquidity_session,macro_blocked_nonoverlap,tp24_sl15_h12_control,supportive,30,74.77,0.09,1.902039,0.5,-22.09
liquidity_session,macro_blocked_nonoverlap,tp24_sl15_h12_control,hostile,9,46.51,7.73,2.411104,0.666667,-22.64
liquidity_session,macro_blocked_overlap,time_exit_12h,neutral,529,2375.33,1.63,2.109869,0.58034,-407.05
liquidity_session,macro_blocked_overlap,time_exit_12h,mixed,345,1844.25,0.48,1.980129,0.510145,-444.58
liquidity_session,macro_blocked_overlap,time_exit_12h,supportive,117,200.3,-0.06,1.545836,0.487179,-110.88
liquidity_session,macro_blocked_overlap,time_exit_12h,hostile,26,111.93,4.5,2.740747,0.615385,-30.97
liquidity_session,macro_blocked_overlap,tp15_sl12_h12,neutral,529,709.64,1.04,1.368993,0.548204,-184.6
liquidity_session,macro_blocked_overlap,tp15_sl12_h12,mixed,345,196.18,-0.05,1.139698,0.498551,-242.16
liquidity_session,macro_blocked_overlap,tp15_sl12_h12,supportive,117,139.69,0.12,1.410298,0.504274,-97.57
liquidity_session,macro_blocked_overlap,tp15_sl12_h12,hostile,26,72.63,4.5,1.905498,0.615385,-43.01
liquidity_session,macro_blocked_overlap,tp18_sl12_h12,neutral,529,953.99,0.95,1.492334,0.544423,-178.6
liquidity_session,macro_blocked_overlap,tp18_sl12_h12,mixed,345,274.45,-0.26,1.192946,0.489855,-236.16
liquidity_session,macro_blocked_overlap,tp18_sl12_h12,supportive,117,172.76,0.12,1.507431,0.504274,-100.93
liquidity_session,macro_blocked_overlap,tp18_sl12_h12,hostile,26,89.21,4.5,2.112205,0.615385,-43.01
liquidity_session,macro_blocked_overlap,tp24_sl15_h12_control,neutral,529,1231.65,1.14,1.610105,0.553875,-283.38
