mechanism,side,event_utc,ref_level,context
prev_day_low_sweep_rejection,LONG,2023-11-20 07:45:00+00:00,1978.58,pdh=1993.39;pdl=1978.58
prev_day_high_sweep_rejection,SHORT,2023-11-30 03:15:00+00:00,2045.54,pdh=2045.54;pdl=2011.70
prev_day_low_sweep_rejection,LONG,2023-12-01 13:00:00+00:00,2035.41,pdh=2052.16;pdl=2035.41
prev_day_high_sweep_rejection,SHORT,2023-12-01 15:30:00+00:00,2052.16,pdh=2052.16;pdl=2035.41
prev_day_high_sweep_rejection,SHORT,2023-12-04 07:30:00+00:00,2075.47,pdh=2075.47;pdl=2033.92
prev_day_low_sweep_rejection,LONG,2023-12-06 02:00:00+00:00,2020.17,pdh=2118.22;pdl=2020.17
prev_day_low_sweep_rejection,LONG,2023-12-08 13:45:00+00:00,2018.8,pdh=2035.92;pdl=2018.80
prev_day_low_sweep_rejection,LONG,2023-12-11 08:30:00+00:00,1994.63,pdh=2033.95;pdl=1994.63
prev_day_low_sweep_rejection,LONG,2023-12-13 07:15:00+00:00,1975.97,pdh=2007.76;pdl=1975.97
prev_day_high_sweep_rejection,SHORT,2023-12-13 19:30:00+00:00,2007.76,pdh=2007.76;pdl=1975.97
prev_day_high_sweep_rejection,SHORT,2023-12-15 02:00:00+00:00,2033.24,pdh=2033.24;pdl=1972.97
prev_day_high_sweep_rejection,SHORT,2023-12-20 11:30:00+00:00,2033.72,pdh=2033.72;pdl=2016.08
prev_day_high_sweep_rejection,SHORT,2023-12-28 19:45:00+00:00,2069.04,pdh=2069.04;pdl=2053.39
prev_day_low_sweep_rejection,LONG,2023-12-29 14:45:00+00:00,2061.51,pdh=2084.41;pdl=2061.51
prev_day_high_sweep_rejection,SHORT,2024-01-02 07:00:00+00:00,2074.81,pdh=2074.81;pdl=2058.17
prev_day_low_sweep_rejection,LONG,2024-01-02 15:45:00+00:00,2058.17,pdh=2074.81;pdl=2058.17
prev_day_low_sweep_rejection,LONG,2024-01-03 02:15:00+00:00,2063.13,pdh=2066.33;pdl=2063.13
prev_day_low_sweep_rejection,LONG,2024-01-05 13:45:00+00:00,2030.43,pdh=2065.90;pdl=2030.43
prev_day_low_sweep_rejection,LONG,2024-01-08 13:00:00+00:00,2024.52,pdh=2063.92;pdl=2024.52
prev_day_low_sweep_rejection,LONG,2024-01-11 13:45:00+00:00,2026.03,pdh=2041.97;pdl=2026.03
prev_day_high_sweep_rejection,SHORT,2024-01-16 05:30:00+00:00,2048.85,pdh=2048.85;pdl=2046.30
prev_day_high_sweep_rejection,SHORT,2024-01-19 14:30:00+00:00,2032.73,pdh=2032.73;pdl=2001.59
prev_day_low_sweep_rejection,LONG,2024-01-22 06:30:00+00:00,2020.35,pdh=2039.29;pdl=2020.35
prev_day_low_sweep_rejection,LONG,2024-01-23 04:00:00+00:00,2026.9,pdh=2029.72;pdl=2026.90
prev_day_high_sweep_rejection,SHORT,2024-01-23 05:30:00+00:00,2029.72,pdh=2029.72;pdl=2026.90
prev_day_high_sweep_rejection,SHORT,2024-01-24 09:15:00+00:00,2032.1,pdh=2032.10;pdl=2016.58
prev_day_low_sweep_rejection,LONG,2024-01-24 15:45:00+00:00,2016.58,pdh=2032.10;pdl=2016.58
prev_day_low_sweep_rejection,LONG,2024-01-25 14:15:00+00:00,2019.54,pdh=2037.88;pdl=2019.54
prev_day_high_sweep_rejection,SHORT,2024-01-29 05:00:00+00:00,2026.72,pdh=2026.72;pdl=2015.91
prev_day_high_sweep_rejection,SHORT,2024-01-31 07:45:00+00:00,2037.54,pdh=2037.54;pdl=2019.08
prev_day_high_sweep_rejection,SHORT,2024-02-01 02:15:00+00:00,2048.59,pdh=2048.59;pdl=2029.05
prev_day_high_sweep_rejection,SHORT,2024-02-02 05:30:00+00:00,2055.98,pdh=2055.98;pdl=2030.84
prev_day_low_sweep_rejection,LONG,2024-02-02 14:15:00+00:00,2030.84,pdh=2055.98;pdl=2030.84
prev_day_low_sweep_rejection,LONG,2024-02-05 06:45:00+00:00,2027.65,pdh=2057.59;pdl=2027.65
prev_day_high_sweep_rejection,SHORT,2024-02-07 15:15:00+00:00,2039.6,pdh=2039.60;pdl=2014.65
prev_day_low_sweep_rejection,LONG,2024-02-08 13:45:00+00:00,2022.64,pdh=2038.83;pdl=2022.64
prev_day_low_sweep_rejection,LONG,2024-02-12 10:30:00+00:00,2020.05,pdh=2037.16;pdl=2020.05
prev_day_low_sweep_rejection,LONG,2024-02-13 07:15:00+00:00,2024.19,pdh=2026.61;pdl=2024.19
prev_day_high_sweep_rejection,SHORT,2024-02-13 10:15:00+00:00,2026.61,pdh=2026.61;pdl=2024.19
prev_day_high_sweep_rejection,SHORT,2024-02-19 16:00:00+00:00,2015.12,pdh=2015.12;pdl=1995.08
prev_day_high_sweep_rejection,SHORT,2024-02-21 17:30:00+00:00,2022.91,pdh=2022.91;pdl=2013.24
prev_day_high_sweep_rejection,SHORT,2024-02-22 09:30:00+00:00,2030.81,pdh=2030.81;pdl=2014.98
prev_day_low_sweep_rejection,LONG,2024-02-23 07:00:00+00:00,2020.06,pdh=2032.20;pdl=2020.06
prev_day_high_sweep_rejection,SHORT,2024-02-27 14:15:00+00:00,2034.95,pdh=2034.95;pdl=2032.15
prev_day_low_sweep_rejection,LONG,2024-02-27 16:30:00+00:00,2032.15,pdh=2034.95;pdl=2032.15
prev_day_low_sweep_rejection,LONG,2024-02-28 09:45:00+00:00,2025.03,pdh=2037.04;pdl=2025.03
prev_day_high_sweep_rejection,SHORT,2024-02-28 14:15:00+00:00,2037.04,pdh=2037.04;pdl=2025.03
prev_day_low_sweep_rejection,LONG,2024-02-29 12:45:00+00:00,2028.71,pdh=2039.44;pdl=2028.71
prev_day_low_sweep_rejection,LONG,2024-03-12 03:15:00+00:00,2177.19,pdh=2183.79;pdl=2177.19
prev_day_low_sweep_rejection,LONG,2024-03-13 17:15:00+00:00,2174.75,pdh=2188.99;pdl=2174.75
prev_day_low_sweep_rejection,LONG,2024-03-15 17:45:00+00:00,2156.51,pdh=2179.83;pdl=2156.51
prev_day_low_sweep_rejection,LONG,2024-03-18 09:15:00+00:00,2155.18,pdh=2172.75;pdl=2155.18
prev_day_high_sweep_rejection,SHORT,2024-03-19 06:15:00+00:00,2156.89,pdh=2156.89;pdl=2151.52
prev_day_low_sweep_rejection,LONG,2024-03-19 09:00:00+00:00,2151.52,pdh=2156.89;pdl=2151.52
prev_day_high_sweep_rejection,SHORT,2024-03-20 14:15:00+00:00,2163.61,pdh=2163.61;pdl=2146.05
prev_day_high_sweep_rejection,SHORT,2024-03-27 03:30:00+00:00,2181.31,pdh=2181.31;pdl=2163.53
prev_day_high_sweep_rejection,SHORT,2024-03-28 06:00:00+00:00,2200.05,pdh=2200.05;pdl=2167.59
prev_day_high_sweep_rejection,SHORT,2024-04-01 15:30:00+00:00,2236.17,pdh=2236.17;pdl=2187.34
prev_day_high_sweep_rejection,SHORT,2024-04-04 13:15:00+00:00,2288.31,pdh=2288.31;pdl=2246.55
prev_day_high_sweep_rejection,SHORT,2024-04-05 15:00:00+00:00,2302.64,pdh=2302.64;pdl=2265.48
prev_day_high_sweep_rejection,SHORT,2024-04-08 03:30:00+00:00,2330.32,pdh=2330.32;pdl=2267.78
prev_day_high_sweep_rejection,SHORT,2024-04-10 03:45:00+00:00,2353.96,pdh=2353.96;pdl=2302.93
prev_day_low_sweep_rejection,LONG,2024-04-11 02:15:00+00:00,2337.68,pdh=2365.32;pdl=2337.68
prev_day_high_sweep_rejection,SHORT,2024-04-12 18:30:00+00:00,2359.96,pdh=2359.96;pdl=2319.21
prev_day_low_sweep_rejection,LONG,2024-04-15 15:30:00+00:00,2333.88,pdh=2431.50;pdl=2333.88
prev_day_high_sweep_rejection,SHORT,2024-04-16 07:45:00+00:00,2373.12,pdh=2373.12;pdl=2346.61
prev_day_high_sweep_rejection,SHORT,2024-04-17 10:45:00+00:00,2391.9,pdh=2391.90;pdl=2324.16
prev_day_high_sweep_rejection,SHORT,2024-04-19 04:15:00+00:00,2395.37,pdh=2395.37;pdl=2354.37
prev_day_low_sweep_rejection,LONG,2024-04-24 04:30:00+00:00,2324.77,pdh=2387.73;pdl=2324.77
prev_day_high_sweep_rejection,SHORT,2024-04-25 14:00:00+00:00,2334.17,pdh=2334.17;pdl=2291.29
prev_day_high_sweep_rejection,SHORT,2024-04-26 05:30:00+00:00,2337.26,pdh=2337.26;pdl=2311.78
prev_day_low_sweep_rejection,LONG,2024-04-29 02:00:00+00:00,2326.0,pdh=2352.36;pdl=2326.00
prev_day_low_sweep_rejection,LONG,2024-05-01 19:45:00+00:00,2319.76,pdh=2346.68;pdl=2319.76
prev_day_low_sweep_rejection,LONG,2024-05-03 14:45:00+00:00,2281.42,pdh=2328.25;pdl=2281.42
prev_day_high_sweep_rejection,SHORT,2024-05-06 09:15:00+00:00,2320.39,pdh=2320.39;pdl=2277.08
prev_day_low_sweep_rejection,LONG,2024-05-09 02:00:00+00:00,2309.79,pdh=2329.97;pdl=2309.79
prev_day_low_sweep_rejection,LONG,2024-05-13 13:15:00+00:00,2345.85,pdh=2378.45;pdl=2345.85
prev_day_high_sweep_rejection,SHORT,2024-05-15 12:30:00+00:00,2364.55,pdh=2364.55;pdl=2331.60
prev_day_high_sweep_rejection,SHORT,2024-05-20 13:15:00+00:00,2422.7,pdh=2422.70;pdl=2373.78
prev_day_high_sweep_rejection,SHORT,2024-05-21 03:00:00+00:00,2425.2,pdh=2425.20;pdl=2416.79
prev_day_low_sweep_rejection,LONG,2024-05-21 03:15:00+00:00,2416.79,pdh=2425.20;pdl=2416.79
prev_day_low_sweep_rejection,LONG,2024-05-22 13:00:00+00:00,2407.17,pdh=2450.04;pdl=2407.17
prev_day_high_sweep_rejection,SHORT,2024-05-27 14:00:00+00:00,2347.17,pdh=2347.17;pdl=2325.27
prev_day_high_sweep_rejection,SHORT,2024-05-29 02:15:00+00:00,2358.5,pdh=2358.50;pdl=2334.29
prev_day_low_sweep_rejection,LONG,2024-05-30 13:30:00+00:00,2340.07,pdh=2364.13;pdl=2340.07
prev_day_low_sweep_rejection,LONG,2024-05-31 17:45:00+00:00,2334.36,pdh=2361.36;pdl=2334.36
prev_day_low_sweep_rejection,LONG,2024-06-03 05:15:00+00:00,2320.34,pdh=2359.76;pdl=2320.34
prev_day_high_sweep_rejection,SHORT,2024-06-04 12:00:00+00:00,2329.01,pdh=2329.01;pdl=2323.14
prev_day_low_sweep_rejection,LONG,2024-06-04 15:00:00+00:00,2323.14,pdh=2329.01;pdl=2323.14
prev_day_high_sweep_rejection,SHORT,2024-06-05 17:00:00+00:00,2354.7,pdh=2354.70;pdl=2314.54
prev_day_high_sweep_rejection,SHORT,2024-06-07 09:15:00+00:00,2357.35,pdh=2357.35;pdl=2325.68
prev_day_high_sweep_rejection,SHORT,2024-06-12 02:00:00+00:00,2313.53,pdh=2313.53;pdl=2287.54
prev_day_high_sweep_rejection,SHORT,2024-06-13 02:15:00+00:00,2319.89,pdh=2319.89;pdl=2297.52
prev_day_low_sweep_rejection,LONG,2024-06-13 17:30:00+00:00,2297.52,pdh=2319.89;pdl=2297.52
prev_day_low_sweep_rejection,LONG,2024-06-14 07:30:00+00:00,2310.56,pdh=2341.60;pdl=2310.56
prev_day_low_sweep_rejection,LONG,2024-06-18 16:45:00+00:00,2327.55,pdh=2332.96;pdl=2327.55
prev_day_high_sweep_rejection,SHORT,2024-06-19 02:00:00+00:00,2329.69,pdh=2329.69;pdl=2309.79
prev_day_high_sweep_rejection,SHORT,2024-06-20 02:30:00+00:00,2333.08,pdh=2333.08;pdl=2306.38
prev_day_high_sweep_rejection,SHORT,2024-06-21 15:15:00+00:00,2335.02,pdh=2335.02;pdl=2323.74
prev_day_low_sweep_rejection,LONG,2024-06-21 16:30:00+00:00,2323.74,pdh=2335.02;pdl=2323.74
prev_day_high_sweep_rejection,SHORT,2024-06-25 16:30:00+00:00,2322.41,pdh=2322.41;pdl=2317.50
prev_day_low_sweep_rejection,LONG,2024-06-25 16:45:00+00:00,2317.5,pdh=2322.41;pdl=2317.50
prev_day_low_sweep_rejection,LONG,2024-06-26 02:00:00+00:00,2317.52,pdh=2334.65;pdl=2317.52
prev_day_low_sweep_rejection,LONG,2024-06-27 12:45:00+00:00,2315.32,pdh=2337.11;pdl=2315.32
prev_day_high_sweep_rejection,SHORT,2024-06-28 02:00:00+00:00,2323.76,pdh=2323.76;pdl=2293.41
prev_day_low_sweep_rejection,LONG,2024-07-01 06:45:00+00:00,2319.04,pdh=2339.73;pdl=2319.04
prev_day_high_sweep_rejection,SHORT,2024-07-02 05:00:00+00:00,2326.95,pdh=2326.95;pdl=2322.81
prev_day_low_sweep_rejection,LONG,2024-07-02 12:30:00+00:00,2322.81,pdh=2326.95;pdl=2322.81
prev_day_high_sweep_rejection,SHORT,2024-07-05 07:30:00+00:00,2364.89,pdh=2364.89;pdl=2326.85
prev_day_low_sweep_rejection,LONG,2024-07-08 17:00:00+00:00,2351.93,pdh=2392.90;pdl=2351.93
prev_day_high_sweep_rejection,SHORT,2024-07-15 12:15:00+00:00,2418.22,pdh=2418.22;pdl=2391.43
prev_day_high_sweep_rejection,SHORT,2024-07-18 07:30:00+00:00,2469.96,pdh=2469.96;pdl=2419.98
prev_day_low_sweep_rejection,LONG,2024-07-22 14:00:00+00:00,2393.61,pdh=2444.95;pdl=2393.61
prev_day_low_sweep_rejection,LONG,2024-07-23 02:30:00+00:00,2400.13,pdh=2411.45;pdl=2400.13
prev_day_high_sweep_rejection,SHORT,2024-07-23 12:30:00+00:00,2411.45,pdh=2411.45;pdl=2400.13
prev_day_high_sweep_rejection,SHORT,2024-07-24 03:30:00+00:00,2411.95,pdh=2411.95;pdl=2383.71
prev_day_high_sweep_rejection,SHORT,2024-07-29 09:30:00+00:00,2390.56,pdh=2390.56;pdl=2355.58
prev_day_low_sweep_rejection,LONG,2024-07-30 05:15:00+00:00,2386.17,pdh=2402.90;pdl=2386.17
prev_day_high_sweep_rejection,SHORT,2024-07-30 18:15:00+00:00,2402.9,pdh=2402.90;pdl=2386.17
prev_day_high_sweep_rejection,SHORT,2024-08-02 02:00:00+00:00,2450.95,pdh=2450.95;pdl=2403.96
prev_day_low_sweep_rejection,LONG,2024-08-05 20:45:00+00:00,2410.83,pdh=2477.57;pdl=2410.83
prev_day_high_sweep_rejection,SHORT,2024-08-08 15:45:00+00:00,2418.13,pdh=2418.13;pdl=2381.50
prev_day_high_sweep_rejection,SHORT,2024-08-14 10:30:00+00:00,2474.06,pdh=2474.06;pdl=2423.76
prev_day_low_sweep_rejection,LONG,2024-08-15 11:15:00+00:00,2458.49,pdh=2477.00;pdl=2458.49
prev_day_high_sweep_rejection,SHORT,2024-08-16 15:30:00+00:00,2479.96,pdh=2479.96;pdl=2438.10
prev_day_low_sweep_rejection,LONG,2024-08-20 03:00:00+00:00,2501.72,pdh=2509.48;pdl=2501.72
prev_day_high_sweep_rejection,SHORT,2024-08-20 16:30:00+00:00,2509.48,pdh=2509.48;pdl=2501.72
prev_day_high_sweep_rejection,SHORT,2024-08-21 10:15:00+00:00,2507.47,pdh=2507.47;pdl=2485.68
prev_day_low_sweep_rejection,LONG,2024-08-22 13:15:00+00:00,2497.32,pdh=2531.69;pdl=2497.32
prev_day_low_sweep_rejection,LONG,2024-08-23 05:00:00+00:00,2493.33,pdh=2519.92;pdl=2493.33
prev_day_high_sweep_rejection,SHORT,2024-08-26 08:30:00+00:00,2518.25,pdh=2518.25;pdl=2484.70
prev_day_low_sweep_rejection,LONG,2024-08-27 02:15:00+00:00,2510.67,pdh=2514.64;pdl=2510.67
prev_day_high_sweep_rejection,SHORT,2024-08-27 07:45:00+00:00,2514.64,pdh=2514.64;pdl=2510.67
prev_day_low_sweep_rejection,LONG,2024-08-28 06:15:00+00:00,2508.7,pdh=2526.75;pdl=2508.70
prev_day_high_sweep_rejection,SHORT,2024-08-29 18:00:00+00:00,2525.99,pdh=2525.99;pdl=2503.51
prev_day_low_sweep_rejection,LONG,2024-09-02 04:30:00+00:00,2493.87,pdh=2526.84;pdl=2493.87
prev_day_low_sweep_rejection,LONG,2024-09-03 09:15:00+00:00,2501.05,pdh=2504.54;pdl=2501.05
prev_day_high_sweep_rejection,SHORT,2024-09-03 10:00:00+00:00,2504.54,pdh=2504.54;pdl=2501.05
prev_day_low_sweep_rejection,LONG,2024-09-04 12:30:00+00:00,2489.85,pdh=2507.09;pdl=2489.85
prev_day_high_sweep_rejection,SHORT,2024-09-05 07:30:00+00:00,2506.23,pdh=2506.23;pdl=2473.43
prev_day_high_sweep_rejection,SHORT,2024-09-06 17:15:00+00:00,2500.28,pdh=2500.28;pdl=2471.66
prev_day_high_sweep_rejection,SHORT,2024-09-11 13:45:00+00:00,2507.1,pdh=2507.10;pdl=2485.35
prev_day_high_sweep_rejection,SHORT,2024-09-12 06:30:00+00:00,2518.42,pdh=2518.42;pdl=2500.13
prev_day_high_sweep_rejection,SHORT,2024-09-16 04:15:00+00:00,2586.09,pdh=2586.09;pdl=2556.72
