candidate_identity,best_priority_score_review_only,source_row_count,source_csv_count,families,stages,density_buckets,commercial_blockers,latest_signal_ts,max_recent_signal_rows,max_event_count,commercial_readiness
us10y_chg_1_le_q30,2.846126,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_ret_1_le_q30,2.846126,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
data/reports/stage27c_db_first_h1_atr_gate_validation/stage27c_gate_validation.csv,2.72,5,1,stage27c,stage27c,MODERATE_HISTORICAL_DENSITY,REVIEW_READY_NOT_PROMOTED,,,68.0,BLOCKED_LOW_FORWARD_CADENCE
spx_chg_1_le_q20,2.67948,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_rank250_ge_q80,2.617099,32,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
data/reports/stage27c_db_first_h1_atr_gate_validation/stage27c_h1_atr_gate_splits.csv,2.48,45,1,stage27c,stage27c,LOW_HISTORICAL_DENSITY;MODERATE_HISTORICAL_DENSITY,CANDIDATE_SUPPLY_DENSITY_BLOCKER;REVIEW_READY_NOT_PROMOTED,,,62.0,BLOCKED_LOW_FORWARD_CADENCE
data/reports/stage28c_forward_safe_meta_gate_validation/stage28c_gate_splits.csv,2.44,723,1,stage28c,stage28c,LOW_HISTORICAL_DENSITY;MODERATE_HISTORICAL_DENSITY,CANDIDATE_SUPPLY_DENSITY_BLOCKER;REVIEW_READY_NOT_PROMOTED,,,61.0,BLOCKED_LOW_FORWARD_CADENCE
real_yield_chg_1_ge_q70,2.403003,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
data/reports/stage27b_db_first_lineage_gate_discovery/stage27b_top_gate_splits.csv,2.36,23,1,stage27b,stage27b,LOW_HISTORICAL_DENSITY;MODERATE_HISTORICAL_DENSITY,CANDIDATE_SUPPLY_DENSITY_BLOCKER;REVIEW_READY_NOT_PROMOTED,,,59.0,BLOCKED_LOW_FORWARD_CADENCE
us10y_chg_1_ge_q80,2.321764,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_chg_1_le_q20,2.307472,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_rank250_ge_q70,2.301469,32,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_z60_ge_q70,2.294538,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_ret_1_le_q20,2.289376,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_chg_1_ge_q70,2.256496,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
