group_name,group_value,direction,horizon_hours,diagnosis,edge_score,samples,avg_close_move,median_close_move,median_mfe,median_mae,hit_plus_10_rate,hit_plus_15_rate,hit_plus_24_rate,hit_minus_10_rate,hit_minus_15_rate,tp15_first_rate,sl15_first_rate,tp24_first_rate,sl24_first_rate
macro_bucket,normal,long,3,NO_CLEAR_FORWARD_EDGE,0.200452,7884,0.229881,0.31,4.07,-3.86,0.219559,0.126078,0.057078,0.216007,0.13001,0.11276,0.117073,0.048706,0.125571
compression_bucket,mid_low,long,3,NO_CLEAR_FORWARD_EDGE,0.183393,2301,0.251625,0.17,3.84,-3.79,0.202086,0.11256,0.04824,0.205997,0.121686,0.103868,0.113864,0.043894,0.119948
year,2024,long,3,NO_CLEAR_FORWARD_EDGE,0.179886,1958,0.286118,0.62,3.78,-3.21,0.139939,0.052605,0.012257,0.139428,0.067416,0.051583,0.066905,0.012257,0.067416
compression_bucket,low,long,3,NO_CLEAR_FORWARD_EDGE,0.179561,1660,0.283777,0.23,4.35,-4.56,0.239759,0.133735,0.057831,0.243976,0.148193,0.122289,0.137349,0.051807,0.145783
vol_bucket,low,long,3,NO_CLEAR_FORWARD_EDGE,0.172863,1625,0.280554,0.36,3.29,-2.86,0.160615,0.088,0.036308,0.161846,0.100308,0.078154,0.094769,0.035077,0.097846
impulse_bucket,expanded,short,3,NO_CLEAR_FORWARD_EDGE,0.171686,1521,0.109882,-0.19,4.96,-4.88,0.258383,0.153846,0.072321,0.264957,0.142669,0.136095,0.128205,0.059829,0.136752
session,asia,long,3,NO_CLEAR_FORWARD_EDGE,0.155022,2436,0.202229,0.335,3.77,-3.62,0.189245,0.110016,0.051314,0.189655,0.114122,0.09647,0.104269,0.042693,0.111248
h4_trend,down,long,12,NO_CLEAR_FORWARD_EDGE,0.144763,2032,0.180689,-0.265,8.16,-8.18,0.42372,0.290846,0.158465,0.422736,0.290354,0.238681,0.246063,0.113681,0.271161
vol_bucket,high,short,3,NO_CLEAR_FORWARD_EDGE,0.110268,1629,0.11027,-0.35,5.31,-5.43,0.296501,0.189073,0.102517,0.300798,0.186004,0.163904,0.165132,0.081031,0.17434
compression_bucket,high,short,6,NO_CLEAR_FORWARD_EDGE,0.104164,1654,0.222666,-0.79,5.535,-6.5,0.321644,0.214631,0.123337,0.349456,0.228537,0.174123,0.192261,0.087062,0.20919
