probe_utc,session,year,h1_trend,h4_trend,vol_bucket,compression_bucket,impulse_bucket,macro_bucket,direction,horizon_hours,entry_price,mfe_usd,mae_usd,close_move_usd,hit_plus_10,hit_plus_15,hit_plus_24,hit_minus_10,hit_minus_15,first_hit_15_15,first_hit_24_15
2024-09-20T00:00:00+00:00,asia,2024,up,up,low,mid_high,normal,normal,short,3,2587.29,2.38,-5.25,-4.24,False,False,False,False,False,none,none
2024-09-20T00:00:00+00:00,asia,2024,up,up,low,mid_high,normal,normal,long,6,2587.29,7.94,-2.38,7.12,False,False,False,False,False,none,none
2024-09-20T00:00:00+00:00,asia,2024,up,up,low,mid_high,normal,normal,short,6,2587.29,2.38,-7.94,-7.12,False,False,False,False,False,none,none
2024-09-20T00:00:00+00:00,asia,2024,up,up,low,mid_high,normal,normal,long,12,2587.29,28.13,-2.38,26.34,True,True,True,False,False,tp_first,tp_first
2024-09-20T00:00:00+00:00,asia,2024,up,up,low,mid_high,normal,normal,short,12,2587.29,2.38,-28.13,-26.34,False,False,False,True,True,sl_first,sl_first
2024-09-20T03:00:00+00:00,asia,2024,up,up,mid_high,mid_high,normal,normal,long,3,2591.48,3.75,-0.58,2.93,False,False,False,False,False,none,none
2024-09-20T03:00:00+00:00,asia,2024,up,up,mid_high,mid_high,normal,normal,short,3,2591.48,0.58,-3.75,-2.93,False,False,False,False,False,none,none
2024-09-20T03:00:00+00:00,asia,2024,up,up,mid_high,mid_high,normal,normal,long,6,2591.48,21.26,-0.58,18.3,True,True,False,False,False,tp_first,none
2024-09-20T03:00:00+00:00,asia,2024,up,up,mid_high,mid_high,normal,normal,short,6,2591.48,0.58,-21.26,-18.3,False,False,False,True,True,sl_first,sl_first
2024-09-20T03:00:00+00:00,asia,2024,up,up,mid_high,mid_high,normal,normal,long,12,2591.48,27.79,-0.58,22.53,True,True,True,False,False,tp_first,tp_first
2024-09-20T03:00:00+00:00,asia,2024,up,up,mid_high,mid_high,normal,normal,short,12,2591.48,0.58,-27.79,-22.53,False,False,False,True,True,sl_first,sl_first
2024-09-20T06:00:00+00:00,london,2024,up,up,low,mid_high,normal,normal,long,3,2594.55,18.19,-0.28,15.23,True,True,False,False,False,tp_first,none
2024-09-20T06:00:00+00:00,london,2024,up,up,low,mid_high,normal,normal,short,3,2594.55,0.28,-18.19,-15.23,False,False,False,True,True,sl_first,sl_first
2024-09-20T06:00:00+00:00,london,2024,up,up,low,mid_high,normal,normal,long,6,2594.55,20.87,-0.28,19.08,True,True,False,False,False,tp_first,none
2024-09-20T06:00:00+00:00,london,2024,up,up,low,mid_high,normal,normal,short,6,2594.55,0.28,-20.87,-19.08,False,False,False,True,True,sl_first,sl_first
2024-09-20T06:00:00+00:00,london,2024,up,up,low,mid_high,normal,normal,long,12,2594.55,31.15,-0.28,25.01,True,True,True,False,False,tp_first,tp_first
2024-09-20T06:00:00+00:00,london,2024,up,up,low,mid_high,normal,normal,short,12,2594.55,0.28,-31.15,-25.01,False,False,False,True,True,sl_first,sl_first
2024-09-20T09:00:00+00:00,london,2024,up,up,mid_high,mid_high,expanded,normal,long,3,2609.78,5.64,-7.28,3.85,False,False,False,False,False,none,none
2024-09-20T09:00:00+00:00,london,2024,up,up,mid_high,mid_high,expanded,normal,short,3,2609.78,7.28,-5.64,-3.85,False,False,False,False,False,none,none
2024-09-20T09:00:00+00:00,london,2024,up,up,mid_high,mid_high,expanded,normal,long,6,2609.78,9.49,-7.28,4.23,False,False,False,False,False,none,none
2024-09-20T09:00:00+00:00,london,2024,up,up,mid_high,mid_high,expanded,normal,short,6,2609.78,7.28,-9.49,-4.23,False,False,False,False,False,none,none
2024-09-20T09:00:00+00:00,london,2024,up,up,mid_high,mid_high,expanded,normal,long,12,2609.78,15.92,-7.28,12.15,True,True,False,False,False,tp_first,none
2024-09-20T09:00:00+00:00,london,2024,up,up,mid_high,mid_high,expanded,normal,short,12,2609.78,7.28,-15.92,-12.15,False,False,False,True,True,sl_first,sl_first
2024-09-20T12:00:00+00:00,london_ny_overlap,2024,up,up,mid_high,mid_high,normal,normal,long,3,2613.61,5.66,-10.97,0.4,False,False,False,True,False,none,none
2024-09-20T12:00:00+00:00,london_ny_overlap,2024,up,up,mid_high,mid_high,normal,normal,short,3,2613.61,10.97,-5.66,-0.4,True,False,False,False,False,none,none
2024-09-20T12:00:00+00:00,london_ny_overlap,2024,up,up,mid_high,mid_high,normal,normal,long,6,2613.61,12.09,-10.97,5.95,True,False,False,True,False,none,none
2024-09-20T12:00:00+00:00,london_ny_overlap,2024,up,up,mid_high,mid_high,normal,normal,short,6,2613.61,10.97,-12.09,-5.95,True,False,False,True,False,none,none
2024-09-20T12:00:00+00:00,london_ny_overlap,2024,up,up,mid_high,mid_high,normal,normal,long,12,2613.61,12.09,-10.97,8.32,True,False,False,True,False,none,none
2024-09-20T12:00:00+00:00,london_ny_overlap,2024,up,up,mid_high,mid_high,normal,normal,short,12,2613.61,10.97,-12.09,-8.32,True,False,False,True,False,none,none
2024-09-20T15:00:00+00:00,london_ny_overlap,2024,up,up,high,mid_high,expanded,normal,long,3,2613.91,11.79,-2.62,5.65,True,False,False,False,False,none,none
2024-09-20T15:00:00+00:00,london_ny_overlap,2024,up,up,high,mid_high,expanded,normal,short,3,2613.91,2.62,-11.79,-5.65,False,False,False,True,False,none,none
2024-09-20T15:00:00+00:00,london_ny_overlap,2024,up,up,high,mid_high,expanded,normal,long,6,2613.91,11.79,-2.62,8.02,True,False,False,False,False,none,none
2024-09-20T15:00:00+00:00,london_ny_overlap,2024,up,up,high,mid_high,expanded,normal,short,6,2613.91,2.62,-11.79,-8.02,False,False,False,True,False,none,none
2024-09-20T15:00:00+00:00,london_ny_overlap,2024,up,up,high,mid_high,expanded,normal,long,12,2613.91,11.79,-2.62,8.02,True,False,False,False,False,none,none
2024-09-20T15:00:00+00:00,london_ny_overlap,2024,up,up,high,mid_high,expanded,normal,short,12,2613.91,2.62,-11.79,-8.02,False,False,False,True,False,none,none
2024-09-20T18:00:00+00:00,new_york,2024,up,up,mid_high,mid_high,normal,normal,long,3,2619.58,3.68,-1.71,2.35,False,False,False,False,False,none,none
2024-09-20T18:00:00+00:00,new_york,2024,up,up,mid_high,mid_high,normal,normal,short,3,2619.58,1.71,-3.68,-2.35,False,False,False,False,False,none,none
2024-09-20T18:00:00+00:00,new_york,2024,up,up,mid_high,mid_high,normal,normal,long,6,2619.58,3.68,-1.71,2.35,False,False,False,False,False,none,none
2024-09-20T18:00:00+00:00,new_york,2024,up,up,mid_high,mid_high,normal,normal,short,6,2619.58,1.71,-3.68,-2.35,False,False,False,False,False,none,none
