events,total,avg,median,wr,pf,dd,pos_years,years,months,year,variant,behavior,horizon_bars,cooldown_bars
33,-6.08,-0.184242,-0.86,0.484848,0.937953,-26.63,0,1,8,2022,pdh_sweep_reject_short_loose_h16_cool4,pdh_sweep_reject_short_loose,16,4
48,117.57,2.449375,2.11,0.5625,1.951599,-40.36,1,1,12,2023,pdh_sweep_reject_short_loose_h16_cool4,pdh_sweep_reject_short_loose,16,4
63,29.76,0.472381,0.31,0.539683,1.119154,-114.51,1,1,12,2024,pdh_sweep_reject_short_loose_h16_cool4,pdh_sweep_reject_short_loose,16,4
51,-245.13,-4.806471,-3.94,0.372549,0.415717,-255.15,0,1,12,2025,pdh_sweep_reject_short_loose_h16_cool4,pdh_sweep_reject_short_loose,16,4
24,153.74,6.405833,3.75,0.541667,2.42616,-50.14,1,1,6,2026,pdh_sweep_reject_short_loose_h16_cool4,pdh_sweep_reject_short_loose,16,4
29,67.4,2.324138,1.74,0.62069,1.834468,-46.85,1,1,8,2022,pdh_sweep_reject_short_loose_h32_cool0,pdh_sweep_reject_short_loose,32,0
44,188.4,4.281818,2.91,0.568182,2.447227,-31.01,1,1,12,2023,pdh_sweep_reject_short_loose_h32_cool0,pdh_sweep_reject_short_loose,32,0
55,65.45,1.19,1.22,0.545455,1.233708,-109.2,1,1,12,2024,pdh_sweep_reject_short_loose_h32_cool0,pdh_sweep_reject_short_loose,32,0
45,-231.66,-5.148,-3.87,0.4,0.587235,-264.82,0,1,12,2025,pdh_sweep_reject_short_loose_h32_cool0,pdh_sweep_reject_short_loose,32,0
20,53.61,2.6805,9.98,0.65,1.229829,-125.54,1,1,6,2026,pdh_sweep_reject_short_loose_h32_cool0,pdh_sweep_reject_short_loose,32,0
28,88.62,3.165,2.2,0.642857,2.488161,-25.63,1,1,8,2022,pdh_sweep_reject_short_loose_h32_cool4,pdh_sweep_reject_short_loose,32,4
44,188.4,4.281818,2.91,0.568182,2.447227,-31.01,1,1,12,2023,pdh_sweep_reject_short_loose_h32_cool4,pdh_sweep_reject_short_loose,32,4
55,65.45,1.19,1.22,0.545455,1.233708,-109.2,1,1,12,2024,pdh_sweep_reject_short_loose_h32_cool4,pdh_sweep_reject_short_loose,32,4
44,-234.56,-5.330909,-3.89,0.386364,0.582068,-267.72,0,1,12,2025,pdh_sweep_reject_short_loose_h32_cool4,pdh_sweep_reject_short_loose,32,4
20,78.88,3.944,16.415,0.65,1.338163,-125.54,1,1,6,2026,pdh_sweep_reject_short_loose_h32_cool4,pdh_sweep_reject_short_loose,32,4
22,-23.03,-1.046818,0.185,0.545455,0.47191,-28.97,0,1,7,2022,pdh_sweep_reject_short_controlled_h4_cool0,pdh_sweep_reject_short_controlled,4,0
27,20.49,0.758889,0.36,0.518519,1.398406,-17.26,1,1,11,2023,pdh_sweep_reject_short_controlled_h4_cool0,pdh_sweep_reject_short_controlled,4,0
44,48.58,1.104091,0.11,0.522727,1.601833,-30.05,1,1,11,2024,pdh_sweep_reject_short_controlled_h4_cool0,pdh_sweep_reject_short_controlled,4,0
44,-163.33,-3.712045,-2.745,0.272727,0.226364,-175.5,0,1,11,2025,pdh_sweep_reject_short_controlled_h4_cool0,pdh_sweep_reject_short_controlled,4,0
24,23.19,0.96625,0.81,0.583333,1.222382,-68.49,1,1,6,2026,pdh_sweep_reject_short_controlled_h4_cool0,pdh_sweep_reject_short_controlled,4,0
