behavior,side,horizon_bars,horizon_minutes,cooldown_bars,decision,score,reasons,events,freq_per_month,total_x1,avg_x1,median_x1,wr_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,train80_events,train80_total,train80_pf,test20_events,test20_total,test20_median,test20_pf,test30_events,test30_total,test30_pf,events_2026,total_2026,median_2026,pf_2026,pos_years,years,variant
pdh_sweep_reject_short_controlled,SHORT,16,240,4,REJECT,3.353262,Failed strict promotion/watchlist checks.,133,2.891304,-62.27,-0.468195,-1.47,0.458647,0.910114,-317.34,-108.82,0.848533,-201.92,0.738402,106,-15.09,0.965221,27,-47.18,-3.54,0.81776,40,-28.48,0.909985,18,108.04,0.755,2.220102,3,5,pdh_sweep_reject_short_controlled_h16_cool4
h4_down_sma_reject_short,SHORT,4,60,0,REJECT,3.345378,Failed strict promotion/watchlist checks.,277,5.893617,-82.34,-0.297256,-0.25,0.476534,0.883738,-172.4,-179.29,0.763884,-373.19,0.570607,221,-106.03,0.778268,56,23.69,-0.235,1.102982,84,68.03,1.231371,24,10.61,-2.385,1.08291,2,5,h4_down_sma_reject_short_h4_cool0
asia_low_breakdown_short,SHORT,4,60,0,REJECT,3.277628,Failed strict promotion/watchlist checks.,1783,36.387755,-306.54,-0.171924,-0.48,0.456534,0.928462,-559.95,-930.59,0.799186,-2178.69,0.595359,1426,-322.63,0.88987,357,16.09,-0.7,1.011871,535,59.46,1.033431,53,203.4,3.96,1.654377,1,5,asia_low_breakdown_short_h4_cool0
h4_down_sma_reject_short,SHORT,4,60,4,REJECT,3.225615,Failed strict promotion/watchlist checks.,218,4.638298,-88.88,-0.407706,-0.335,0.481651,0.854633,-184.02,-165.18,0.746275,-317.78,0.567146,174,-98.05,0.751728,44,9.17,2.065,1.042358,66,32.24,1.121514,21,20.86,1.25,1.1772,2,5,h4_down_sma_reject_short_h4_cool4
compressed_range_down_break_short,SHORT,8,120,4,REJECT,3.215239,Failed strict promotion/watchlist checks.,143,3.177778,33.07,0.231259,-0.47,0.482517,1.055333,-148.58,-16.98,0.972796,-117.08,0.827985,114,96.83,1.299422,29,-63.76,-3.89,0.76752,43,-0.74,0.997607,32,-68.64,-2.63,0.75984,3,5,compressed_range_down_break_short_h8_cool4
asia_high_breakout_long,LONG,8,120,0,REJECT,3.203183,Failed strict promotion/watchlist checks.,1424,29.061224,-239.88,-0.168455,-0.51,0.45927,0.943311,-681.95,-738.28,0.836174,-1735.08,0.659519,1139,-563.99,0.822345,285,324.11,-0.02,1.306675,428,360.86,1.252816,32,228.97,2.83,3.02718,2,5,asia_high_breakout_long_h8_cool0
h4_down_sma_reject_short,SHORT,8,120,4,REJECT,3.106812,Failed strict promotion/watchlist checks.,185,3.93617,-16.81,-0.090865,-0.53,0.443243,0.975252,-191.18,-81.56,0.886139,-211.06,0.734359,148,-29.12,0.929682,37,12.31,-1.14,1.046428,56,41.9,1.131521,19,-19.55,-5.6,0.909061,1,5,h4_down_sma_reject_short_h8_cool4
pdh_breakout_continuation_long,LONG,8,120,4,REJECT,2.852313,Failed strict promotion/watchlist checks.,1474,29.48,199.31,0.135217,0.08,0.509498,1.038493,-341.22,-316.59,0.941782,-1348.39,0.775159,1179,29.15,1.009562,295,170.16,1.52,1.079917,443,316.2,1.119452,148,43.46,1.855,1.03195,2,5,pdh_breakout_continuation_long_h8_cool4
asia_high_breakout_long,LONG,4,60,4,REJECT,2.78813,Failed strict promotion/watchlist checks.,1424,29.061224,-292.61,-0.205485,-0.305,0.462079,0.908164,-554.08,-791.01,0.77163,-1787.81,0.561635,1139,-479.81,0.800111,285,187.2,-0.04,1.238219,428,204.88,1.189709,32,156.4,3.705,2.684075,2,5,asia_high_breakout_long_h4_cool4
compressed_range_down_break_short,SHORT,8,120,0,REJECT,2.673989,Failed strict promotion/watchlist checks.,151,3.355556,-31.53,-0.208808,-0.59,0.463576,0.952267,-156.07,-84.38,0.877625,-190.08,0.746881,120,63.51,1.178896,31,-95.04,-5.52,0.688944,46,-41.22,0.882121,34,-99.92,-4.705,0.684884,3,5,compressed_range_down_break_short_h8_cool0
compressed_range_up_break_long,LONG,4,60,0,REJECT,2.669707,Failed strict promotion/watchlist checks.,179,3.891304,-74.67,-0.417151,0.34,0.530726,0.856133,-172.12,-137.32,0.749809,-262.62,0.572906,143,32.4,1.156114,36,-107.07,-0.255,0.656254,54,-83.34,0.751179,28,-144.4,-4.705,0.503388,3,5,compressed_range_up_break_long_h4_cool0
pdh_sweep_reject_short_controlled,SHORT,32,480,0,REJECT,2.649917,Failed strict promotion/watchlist checks.,120,2.608696,-30.07,-0.250583,0.71,0.516667,0.966623,-371.11,-72.07,0.921767,-156.07,0.837962,96,158.07,1.371711,24,-188.14,0.16,0.604474,36,-149.89,0.726293,16,59.36,15.465,1.268975,4,5,pdh_sweep_reject_short_controlled_h32_cool0
pdh_sweep_reject_short_controlled,SHORT,32,480,4,REJECT,2.649917,Failed strict promotion/watchlist checks.,120,2.608696,-30.07,-0.250583,0.71,0.516667,0.966623,-371.11,-72.07,0.921767,-156.07,0.837962,96,158.07,1.371711,24,-188.14,0.16,0.604474,36,-149.89,0.726293,16,59.36,15.465,1.268975,4,5,pdh_sweep_reject_short_controlled_h32_cool4
compressed_range_up_break_long,LONG,4,60,4,REJECT,2.566697,Failed strict promotion/watchlist checks.,161,3.5,-85.26,-0.529565,0.32,0.521739,0.824849,-167.21,-141.61,0.724585,-254.31,0.557706,128,23.67,1.12977,33,-108.93,-0.19,0.642125,49,-102.56,0.687164,26,-139.49,-4.705,0.508267,4,5,compressed_range_up_break_long_h4_cool4
pdl_breakdown_continuation_short,SHORT,8,120,0,REJECT,2.526293,Failed strict promotion/watchlist checks.,1422,28.44,-210.52,-0.148045,-0.61,0.459916,0.967019,-762.27,-708.22,0.893628,-1703.62,0.76462,1137,-597.01,0.817169,285,386.49,-1.12,1.123968,427,317.79,1.083311,155,275.85,-2.65,1.120383,2,5,pdl_breakdown_continuation_short_h8_cool0
compressed_range_down_break_short,SHORT,16,240,4,REJECT,2.280167,Failed strict promotion/watchlist checks.,138,3.066667,-131.66,-0.954058,-0.975,0.413043,0.857245,-204.77,-179.96,0.810712,-276.56,0.726081,110,-80.36,0.83978,28,-51.3,-8.04,0.878066,42,-72.49,0.861263,29,-81.42,-12.28,0.819404,1,5,compressed_range_down_break_short_h16_cool4
pdh_breakout_continuation_long,LONG,16,240,4,REJECT,2.241251,Failed strict promotion/watchlist checks.,848,16.96,172.69,0.203644,-0.075,0.495283,1.046869,-287.62,-124.11,0.96765,-717.71,0.827189,678,189.24,1.083918,170,-16.55,0.375,0.988422,255,314.13,1.183935,85,-52.67,-0.55,0.928902,1,5,pdh_breakout_continuation_long_h16_cool4
h4_up_sma_reclaim_long,LONG,4,60,4,REJECT,2.234513,Failed strict promotion/watchlist checks.,226,4.612245,-121.99,-0.539779,0.17,0.5,0.864361,-244.94,-201.09,0.785831,-359.29,0.649685,180,-87.4,0.817147,46,-34.59,2.91,0.917915,68,24.42,1.053071,18,-65.2,-0.78,0.773619,1,5,h4_up_sma_reclaim_long_h4_cool4
h4_up_sma_reclaim_long,LONG,8,120,4,REJECT,2.210524,Failed strict promotion/watchlist checks.,198,4.040816,-152.72,-0.771313,-0.21,0.484848,0.839044,-262.93,-222.02,0.774551,-360.62,0.659555,158,-36.53,0.930705,40,-116.19,0.25,0.724446,60,-94.22,0.807451,16,43.69,6.95,1.281871,1,5,h4_up_sma_reclaim_long_h8_cool4
h4_down_sma_reject_short,SHORT,8,120,0,REJECT,2.099545,Failed strict promotion/watchlist checks.,218,4.638298,-90.46,-0.414954,-0.495,0.454128,0.889695,-243.11,-166.76,0.80676,-319.36,0.665016,174,-68.92,0.864573,44,-21.54,-0.645,0.93078,66,38.21,1.101722,21,-31.11,-5.73,0.862825,1,5,h4_down_sma_reject_short_h8_cool0
pdh_sweep_reject_short_loose,SHORT,8,120,4,REJECT,2.011532,Failed strict promotion/watchlist checks.,245,4.9,-97.88,-0.39951,-0.45,0.444898,0.891526,-338.03,-183.63,0.806789,-355.13,0.662427,196,10.22,1.01873,49,-108.1,-2.48,0.696927,74,-152.1,0.670665,27,66.17,1.05,1.436391,4,5,pdh_sweep_reject_short_loose_h8_cool4
asia_low_fakeout_reclaim_long,LONG,4,60,4,REJECT,2.001547,Failed strict promotion/watchlist checks.,609,12.18,-149.81,-0.245993,-0.19,0.486043,0.920539,-248.42,-362.96,0.818354,-789.26,0.647878,487,-40.89,0.96268,122,-108.92,0.99,0.862065,183,-72.29,0.92511,68,-166.06,-1.145,0.676258,1,5,asia_low_fakeout_reclaim_long_h4_cool4
asia_low_fakeout_reclaim_long,LONG,8,120,4,REJECT,1.972215,Failed strict promotion/watchlist checks.,559,11.18,-79.07,-0.141449,-0.41,0.472272,0.965381,-295.31,-274.72,0.885001,-666.02,0.74447,447,-92.22,0.933293,112,13.15,-0.535,1.014586,168,7.79,1.006753,63,-217.0,-2.08,0.696627,1,5,asia_low_fakeout_reclaim_long_h8_cool4
compressed_range_down_break_short,SHORT,4,60,4,REJECT,1.896611,Failed strict promotion/watchlist checks.,151,3.355556,-146.66,-0.971258,-0.72,0.443709,0.760281,-152.57,-199.51,0.689058,-305.21,0.567231,120,-15.15,0.950399,31,-131.51,-1.34,0.570734,46,-104.46,0.691822,34,-117.57,-0.435,0.620497,1,5,compressed_range_down_break_short_h4_cool4
