variant_a,variant_b,events_a,events_b,overlap_count,jaccard,overlap_min_share
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool4,436,143,4,0.006957,0.027972
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool4,436,143,4,0.006957,0.027972
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h4_cool0,436,110,3,0.005525,0.027273
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool4,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h4_cool0,436,110,3,0.005525,0.027273
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool0,436,148,4,0.006897,0.027027
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool0,436,148,4,0.006897,0.027027
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h8_cool4,436,152,4,0.006849,0.026316
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h8_cool4,436,152,4,0.006849,0.026316
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool4,436,158,4,0.00678,0.025316
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool4,436,158,4,0.00678,0.025316
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h4_cool4,436,163,4,0.006723,0.02454
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h4_cool4,436,163,4,0.006723,0.02454
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool0,436,168,4,0.006667,0.02381
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool0,436,168,4,0.006667,0.02381
