variant,family,side,trend_dist,pullback,slope_min,sma50_dist,horizon_bars,horizon_minutes,cooldown_bars,signal_dt,entry_dt,exit_dt,entry_price,entry_price_source,exit_price,gross_ret,net_x1,net_x2,net_x4,mfe,mae,hour,ema20_m15,sma20_slope5,h1_close_minus_sma20,h1_close_minus_sma50
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2023-03-27 12:00:00+00:00,2023-03-27 12:15:00+00:00,2023-03-27 15:15:00+00:00,1967.8,m15_exact_open,1951.57,16.23,15.88,15.53,14.83,19.64,0.1,12,1970.7842454708336,-5.9809999999999945,-8.084499999999935,-16.166600000000017
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2023-04-10 16:00:00+00:00,2023-04-10 16:15:00+00:00,2023-04-10 19:15:00+00:00,1989.46,m15_exact_open,1988.03,1.43,1.08,0.73,0.03,7.86,4.8,16,1998.470704238586,-3.17450000000008,-8.976000000000113,-19.71659999999997
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2023-04-19 15:30:00+00:00,2023-04-19 15:45:00+00:00,2023-04-19 18:45:00+00:00,1977.9,m15_exact_open,1990.34,-12.44,-12.79,-13.14,-13.84,0.3,18.02,15,1978.0590469213612,-6.588000000000193,-26.81749999999988,-27.855000000000018
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2023-05-12 13:30:00+00:00,2023-05-12 13:45:00+00:00,2023-05-12 16:45:00+00:00,2004.19,m15_exact_open,2019.95,-15.76,-16.11,-16.46,-17.16,1.64,15.96,13,2007.2408079828767,-5.3659999999999854,-9.755499999999984,-20.47739999999999
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2023-05-23 12:00:00+00:00,2023-05-23 12:15:00+00:00,2023-05-23 15:15:00+00:00,1959.9,m15_exact_open,1960.58,-0.68,-1.03,-1.38,-2.08,5.5,1.58,12,1960.4009281763038,-4.199999999999818,-7.7150000000001455,-11.777199999999539
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2023-06-15 12:00:00+00:00,2023-06-15 12:15:00+00:00,2023-06-15 15:15:00+00:00,1931.55,m15_exact_open,1929.17,2.38,2.03,1.68,0.98,4.53,5.13,12,1933.6743443732162,-4.252499999999827,-10.85850000000005,-15.531799999999976
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2023-06-22 16:00:00+00:00,2023-06-22 16:15:00+00:00,2023-06-22 19:15:00+00:00,1923.37,m15_exact_open,1915.17,8.2,7.85,7.5,6.8,10.67,3.94,16,1927.0906285625983,-0.9729999999999563,-7.573499999999967,-10.415399999999863
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2023-07-06 16:45:00+00:00,2023-07-06 17:00:00+00:00,2023-07-06 20:00:00+00:00,1913.5,m15_exact_open,1910.17,3.33,2.98,2.63,1.93,10.79,-1.17,16,1916.0868233897877,-1.253500000000031,-9.072999999999865,-13.69179999999983
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2023-08-08 16:15:00+00:00,2023-08-08 16:30:00+00:00,2023-08-08 19:30:00+00:00,1927.95,m15_exact_open,1927.72,0.23,-0.12,-0.47,-1.17,5.31,3.92,16,1929.7333551621894,-0.8934999999996762,-8.9200000000003,-12.054799999999886
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2023-09-12 16:45:00+00:00,2023-09-12 17:00:00+00:00,2023-09-12 20:00:00+00:00,1908.83,m15_exact_open,1912.42,-3.59,-3.94,-4.29,-4.99,0.5,6.14,16,1913.2591955183116,-2.333499999999958,-11.542500000000018,-13.312999999999874
