family,name,london_move_atr_min,eff_min,pullback_atr_max,ny_confirm_atr_min,entry_hour,horizon_min,tp_atr,sl_atr,stage,events,pf_x1,pf_x4,total_x1,total_x4,median_x1,win_rate_x1,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,first_entry,last_entry,proxy_rank_score
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.15_h90_e15_tp0.6_sl0.65,0.9,0.72,0.1,0.15,15,90,0.6,0.65,proxy_m15,79,0.8991,0.5985,-22.1886,-105.1386,-1.29,0.4937,1.0269,0.5502,0.5733,2022-05-09 15:15:00,2026-05-04 15:15:00,4.49065
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.0_h180_e15_tp0.6_sl0.65,0.9,0.6,0.3,0.0,15,180,0.6,0.65,proxy_m15,214,0.7737,0.5054,-141.2847,-365.9847,-2.0628,0.486,0.7805,0.4728,0.5212,2022-05-02 15:15:00,2026-06-02 15:15:00,4.3545
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.0_h90_e15_tp0.6_sl0.65,0.9,0.6,0.3,0.0,15,90,0.6,0.65,proxy_m15,214,0.7675,0.4992,-144.1001,-368.8001,-2.0628,0.4813,0.7805,0.4728,0.5208,2022-05-02 15:15:00,2026-06-02 15:15:00,4.3355
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.15_h180_e15_tp0.6_sl0.65,0.9,0.6,0.1,0.15,15,180,0.6,0.65,proxy_m15,139,0.7448,0.4911,-106.5294,-252.4794,-2.3455,0.4604,0.8082,0.5364,0.5334,2022-05-02 15:15:00,2026-05-26 15:15:00,4.19105
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.15_h180_e15_tp0.6_sl0.65,0.9,0.6,0.3,0.15,15,180,0.6,0.65,proxy_m15,139,0.7448,0.4911,-106.5294,-252.4794,-2.3455,0.4604,0.8082,0.5364,0.5334,2022-05-02 15:15:00,2026-05-26 15:15:00,4.19105
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.15_h90_e15_tp0.6_sl0.65,0.9,0.6,0.1,0.15,15,90,0.6,0.65,proxy_m15,139,0.7351,0.4818,-109.3448,-255.2948,-2.3455,0.4532,0.8082,0.5364,0.5214,2022-05-02 15:15:00,2026-05-26 15:15:00,4.15035
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.15_h90_e15_tp0.6_sl0.65,0.9,0.6,0.3,0.15,15,90,0.6,0.65,proxy_m15,139,0.7351,0.4818,-109.3448,-255.2948,-2.3455,0.4532,0.8082,0.5364,0.5214,2022-05-02 15:15:00,2026-05-26 15:15:00,4.15035
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.0_h90_e15_tp0.4_sl0.5,0.9,0.6,0.3,0.0,15,90,0.4,0.5,proxy_m15,214,0.6936,0.3653,-142.4574,-367.1574,0.6807,0.514,0.7733,0.5198,0.5563,2022-05-02 15:15:00,2026-06-02 15:15:00,4.0821
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.0_h180_e15_tp0.4_sl0.5,0.9,0.6,0.3,0.0,15,180,0.4,0.5,proxy_m15,214,0.6883,0.363,-146.0795,-370.7795,0.6807,0.514,0.7733,0.5198,0.5519,2022-05-02 15:15:00,2026-06-02 15:15:00,4.0648
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.15_h90_e15_tp0.4_sl0.5,0.9,0.6,0.1,0.15,15,90,0.4,0.5,proxy_m15,139,0.7104,0.3857,-87.5631,-233.5131,-1.655,0.482,0.832,0.6775,0.4838,2022-05-02 15:15:00,2026-05-26 15:15:00,3.99105
