ts_utc,year,close,candidate,family,side,horizon_hours,signed_forward_bps
2023-03-07 21:00:00+00:00,2023,1813.83,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,12.900878252097847
2023-03-15 09:00:00+00:00,2023,1896.42,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,106.51648896341514
2023-03-16 17:00:00+00:00,2023,1918.64,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,211.34762123170557
2023-03-21 09:00:00+00:00,2023,1970.24,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-154.6004547669322
2023-03-27 13:00:00+00:00,2023,1949.67,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,35.74963968261402
2023-04-03 05:00:00+00:00,2023,1952.48,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,144.94386626239475
2023-04-14 15:00:00+00:00,2023,2024.6,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-119.13464388027207
2023-04-16 23:00:00+00:00,2023,2001.26,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-31.230324895316073
2023-04-27 16:00:00+00:00,2023,1981.84,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,23.463044443547965
2023-05-02 15:00:00+00:00,2023,1985.58,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,141.21818310015132
2023-05-05 15:00:00+00:00,2023,2010.27,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,78.04921726932257
2023-05-07 23:00:00+00:00,2023,2014.44,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,34.103770775004705
2023-05-12 14:00:00+00:00,2023,2004.67,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,41.45320676220976
2023-05-16 18:00:00+00:00,2023,1995.91,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-77.75901719015432
2023-05-18 17:00:00+00:00,2023,1955.25,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,16.315049226443
2023-05-25 15:00:00+00:00,2023,1943.57,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,19.191487829097742
2023-06-02 16:00:00+00:00,2023,1963.42,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-86.68547738130417
2023-06-04 23:00:00+00:00,2023,1948.85,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,65.88500910793549
2023-06-15 14:00:00+00:00,2023,1928.45,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,192.22691799113178
2023-07-05 21:00:00+00:00,2023,1915.91,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-26.567009932617623
