ts_utc,family,candidate,side,horizon_h,entry_close,raw_return_bps,cost_return_bps,slip16_return_bps,hour_utc,weekday,session_utc,year,quarter,mae_bps,mfe_bps,touch_stop_100bps
2023-06-07 20:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1944.39,87.99674962327364,79.99674962327364,63.996749623273644,20,Wednesday,NY_LATE,2023,2023Q2,-25.14927560828939,147.08983280103283,False
2023-06-20 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1934.85,-101.45489314417055,-109.45489314417055,-125.45489314417055,17,Tuesday,NY_LATE,2023,2023Q2,-103.83233842416684,23.309300462568405,True
2023-06-22 20:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1916.41,41.901263299606306,33.901263299606306,17.901263299606306,20,Thursday,NY_LATE,2023,2023Q2,-33.8132236838673,108.48409265240777,False
2023-06-27 19:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1914.53,-22.512052566425744,-30.512052566425744,-46.512052566425744,19,Tuesday,NY_LATE,2023,2023Q2,-112.97811995633289,13.423660115015057,True
2023-07-06 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1907.84,74.1676450855433,66.1676450855433,50.1676450855433,17,Thursday,NY_LATE,2023,2023Q3,-3.878731969138016,141.25922509225174,False
2023-07-21 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1960.3,20.20098964444328,12.200989644443279,-3.799010355556721,18,Friday,NY_LATE,2023,2023Q3,-45.55425190021944,38.61653828495682,False
2023-08-02 19:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1935.46,31.77539189650025,23.77539189650025,7.775391896500249,19,Wednesday,NY_LATE,2023,2023Q3,-64.53246256703848,58.59072261891196,False
2023-08-07 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1934.0,-86.81489141675213,-94.81489141675213,-110.81489141675213,17,Monday,NY_LATE,2023,2023Q3,-93.48500517063042,20.0103412616337,False
2023-08-09 20:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1916.2,-16.17785199874877,-24.17785199874877,-40.17785199874877,20,Wednesday,NY_LATE,2023,2023Q3,-28.859200500991335,71.7044149879964,False
2023-09-04 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1938.26,-111.13060167366572,-119.13060167366572,-135.13060167366572,17,Monday,NY_LATE,2023,2023Q3,-118.97268684283868,3.766264587825585,True
2023-09-08 19:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1919.59,-38.1852374725844,-46.1852374725844,-62.1852374725844,19,Friday,NY_LATE,2023,2023Q3,-63.03429378148429,57.40809235305511,False
2023-09-25 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1917.37,-187.91365255532267,-195.91365255532267,-211.91365255532267,18,Monday,NY_LATE,2023,2023Q3,-196.57134512378826,4.3288462842339115,True
2023-09-27 21:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1875.85,-144.6810779113461,-152.6810779113461,-168.6810779113461,21,Wednesday,NY_LATE,2023,2023Q3,-158.38153370471898,20.470719940295368,True
2023-10-05 20:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1818.96,194.28684523024043,186.28684523024043,170.28684523024043,20,Thursday,NY_LATE,2023,2023Q4,-47.88450543167566,199.67453929718104,False
2023-10-12 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1872.13,262.8022626633819,254.8022626633819,238.8022626633819,18,Thursday,NY_LATE,2023,2023Q4,-23.502641376400568,312.2112246478603,False
2023-10-26 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1979.56,95.87989250136486,87.87989250136486,71.87989250136486,17,Thursday,NY_LATE,2023,2023Q4,-15.912627048434436,150.2859221241093,False
2023-10-31 20:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1984.53,6.903397781843346,-1.0966022181566544,-17.096602218156654,20,Tuesday,NY_LATE,2023,2023Q4,-74.27451336084579,37.59076456390176,False
2023-11-10 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1942.04,132.3865625836751,124.3865625836751,108.3865625836751,17,Friday,NY_LATE,2023,2023Q4,-125.6925706988521,148.60661984305244,True
2023-11-20 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1971.94,116.68712029777816,108.68712029777816,92.68712029777816,17,Monday,NY_LATE,2023,2023Q4,-3.346957818189944,180.48216477174694,False
2023-11-22 19:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1991.56,53.67651489284864,45.67651489284864,29.676514892848637,19,Wednesday,NY_LATE,2023,2023Q4,-23.49916648255568,60.3546968205837,False
2023-11-30 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2037.9,60.06182835271545,52.06182835271545,36.06182835271545,17,Thursday,NY_LATE,2023,2023Q4,-20.805731390156623,548.6039550517673,False
2023-12-08 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2008.96,-135.0449984071367,-143.0449984071367,-159.0449984071367,17,Friday,NY_LATE,2023,2023Q4,-164.21431984708468,3.68349792927658,True
2023-12-26 20:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2058.29,70.15532310801653,62.15532310801653,46.15532310801653,20,Tuesday,NY_LATE,2023,2023Q4,0.0,146.57798463773463,False
2023-12-29 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2064.74,-132.8496566153603,-140.8496566153603,-156.8496566153603,17,Friday,NY_LATE,2023,2023Q4,-160.45603804837327,68.19260536435667,True
2024-01-03 21:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2036.41,45.521285006457916,37.521285006457916,21.521285006457916,21,Wednesday,NY_LATE,2024,2024Q1,-58.38706350882239,135.09067427482702,False
2024-01-10 21:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2023.85,115.76944931689593,107.76944931689593,91.76944931689593,21,Wednesday,NY_LATE,2024,2024Q1,-53.21540628010935,189.44091706401213,False
2024-01-17 19:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2006.84,110.82099220665276,102.82099220665276,86.82099220665276,19,Wednesday,NY_LATE,2024,2024Q1,-26.160530984035148,161.6969962727466,False
2024-01-23 20:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2025.23,-54.512326994958784,-62.512326994958784,-78.51232699495878,20,Tuesday,NY_LATE,2024,2024Q1,-76.0407459893453,56.33927998301536,False
2024-02-02 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2036.07,1.276969848778009,-6.723030151221991,-22.72303015122199,18,Friday,NY_LATE,2024,2024Q1,-105.20266984926808,29.02650694720732,True
2024-02-14 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1987.65,101.57723945362518,93.57723945362518,77.57723945362518,17,Wednesday,NY_LATE,2024,2024Q1,-1.9118053983357974,117.37478932407619,False
2024-02-21 19:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2024.21,67.38431289243563,59.38431289243563,43.38431289243563,19,Wednesday,NY_LATE,2024,2024Q1,-41.49767069622223,76.8694947658588,False
2024-02-26 19:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2028.69,25.13937565621127,17.13937565621127,1.1393756562112713,19,Monday,NY_LATE,2024,2024Q1,-21.935337582380534,52.98986045181975,False
2024-03-12 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2163.01,-26.768253498599126,-34.76825349859912,-50.76825349859912,17,Tuesday,NY_LATE,2024,2024Q1,-57.92853477330273,77.76200757277918,False
2024-03-19 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2154.48,118.07953659351611,110.07953659351611,94.07953659351611,18,Tuesday,NY_LATE,2024,2024Q1,-22.696892057479936,315.7142326686713,False
2024-04-01 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2239.68,208.0207886840979,200.0207886840979,184.0207886840979,18,Monday,NY_LATE,2024,2024Q2,-22.146020860123183,217.12923274753493,False
2024-04-08 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2328.78,74.03017889195063,66.03017889195063,50.03017889195063,17,Monday,NY_LATE,2024,2024Q2,-41.094478654060126,156.9061912245906,False
2024-04-22 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2341.01,-48.61149674713072,-56.61149674713072,-72.61149674713073,17,Monday,NY_LATE,2024,2024Q2,-212.3869611834217,2.3921298926521395,True
2024-04-30 20:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2295.76,52.88009199567733,44.88009199567733,28.880091995677333,20,Tuesday,NY_LATE,2024,2024Q2,-62.46297522389143,141.52176185664,False
