family,name,london_move_atr_min,eff_min,ny_cont_atr_min,entry_hour,horizon_min,tp_atr,sl_atr,stage,events,pf_x1,pf_x4,total_x1,total_x4,median_x1,win_rate_x1,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,first_entry,last_entry,proxy_rank_score
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.0_h180_e13_tp0.4_sl0.5,0.9,0.72,0.0,13,180,0.4,0.5,proxy_m15,82,0.4546,0.1865,-96.8113,-182.9113,-1.5152,0.4878,0.3805,0.0,0.3098,2022-05-09 13:15:00,2026-05-04 13:15:00,2.2985
london_oneway_fade,london_oneway_fade_mv1.2_eff0.72_cont0.0_h180_e13_tp0.4_sl0.5,1.2,0.72,0.0,13,180,0.4,0.5,proxy_m15,82,0.4546,0.1865,-96.8113,-182.9113,-1.5152,0.4878,0.3805,0.0,0.3098,2022-05-09 13:15:00,2026-05-04 13:15:00,2.2985
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.0_h90_e13_tp0.4_sl0.5,0.9,0.72,0.0,13,90,0.4,0.5,proxy_m15,82,0.4427,0.182,-99.4113,-185.5113,-1.5152,0.4756,0.3805,0.0,0.2999,2022-05-09 13:15:00,2026-05-04 13:15:00,2.2603
london_oneway_fade,london_oneway_fade_mv1.2_eff0.72_cont0.0_h90_e13_tp0.4_sl0.5,1.2,0.72,0.0,13,90,0.4,0.5,proxy_m15,82,0.4427,0.182,-99.4113,-185.5113,-1.5152,0.4756,0.3805,0.0,0.2999,2022-05-09 13:15:00,2026-05-04 13:15:00,2.2603
london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.2_h90_e13_tp0.6_sl0.65,1.2,0.6,0.2,13,90,0.6,0.65,proxy_m15,79,0.4297,0.1931,-111.4172,-194.3672,-2.1505,0.4557,0.352,0.0,0.3297,2022-05-02 13:15:00,2026-05-04 13:15:00,2.22795
london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.2_h180_e13_tp0.6_sl0.65,1.2,0.6,0.2,13,180,0.6,0.65,proxy_m15,79,0.4275,0.1947,-114.2247,-197.1747,-2.1793,0.4557,0.352,0.0,0.3231,2022-05-02 13:15:00,2026-05-04 13:15:00,2.21855
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.0_h180_e13_tp0.6_sl0.65,0.9,0.72,0.0,13,180,0.6,0.65,proxy_m15,82,0.4194,0.2219,-146.3065,-232.4065,-2.212,0.4634,0.2757,0.0,0.2353,2022-05-09 13:15:00,2026-05-04 13:15:00,2.0842
london_oneway_fade,london_oneway_fade_mv1.2_eff0.72_cont0.0_h180_e13_tp0.6_sl0.65,1.2,0.72,0.0,13,180,0.6,0.65,proxy_m15,82,0.4194,0.2219,-146.3065,-232.4065,-2.212,0.4634,0.2757,0.0,0.2353,2022-05-09 13:15:00,2026-05-04 13:15:00,2.0842
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.0_h90_e13_tp0.6_sl0.65,0.9,0.72,0.0,13,90,0.6,0.65,proxy_m15,82,0.4292,0.2188,-132.9868,-219.0867,-1.8696,0.4512,0.2676,0.0,0.2205,2022-05-09 13:15:00,2026-05-04 13:15:00,2.0778
london_oneway_fade,london_oneway_fade_mv1.2_eff0.72_cont0.0_h90_e13_tp0.6_sl0.65,1.2,0.72,0.0,13,90,0.6,0.65,proxy_m15,82,0.4292,0.2188,-132.9868,-219.0867,-1.8696,0.4512,0.2676,0.0,0.2205,2022-05-09 13:15:00,2026-05-04 13:15:00,2.0778
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.2_h90_e13_tp0.6_sl0.65,0.9,0.72,0.2,13,90,0.6,0.65,proxy_m15,45,0.3182,0.1482,-92.0253,-139.2753,-2.2,0.4,0.277,0.0,0.1871,2022-05-09 13:15:00,2026-05-04 13:15:00,1.52995
london_oneway_fade,london_oneway_fade_mv1.2_eff0.72_cont0.2_h90_e13_tp0.6_sl0.65,1.2,0.72,0.2,13,90,0.6,0.65,proxy_m15,45,0.3182,0.1482,-92.0253,-139.2753,-2.2,0.4,0.277,0.0,0.1871,2022-05-09 13:15:00,2026-05-04 13:15:00,1.52995
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.2_h180_e13_tp0.6_sl0.65,0.9,0.72,0.2,13,180,0.6,0.65,proxy_m15,45,0.3087,0.1445,-96.1786,-143.4286,-2.6199,0.4,0.277,0.0,0.1748,2022-05-09 13:15:00,2026-05-04 13:15:00,1.49495
london_oneway_fade,london_oneway_fade_mv1.2_eff0.72_cont0.2_h180_e13_tp0.6_sl0.65,1.2,0.72,0.2,13,180,0.6,0.65,proxy_m15,45,0.3087,0.1445,-96.1786,-143.4286,-2.6199,0.4,0.277,0.0,0.1748,2022-05-09 13:15:00,2026-05-04 13:15:00,1.49495
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.2_h90_e13_tp0.4_sl0.5,0.9,0.72,0.2,13,90,0.4,0.5,proxy_m15,45,0.3071,0.1043,-70.8835,-118.1335,-1.735,0.4222,0.2288,0.0,0.2081,2022-05-09 13:15:00,2026-05-04 13:15:00,1.43665
london_oneway_fade,london_oneway_fade_mv0.9_eff0.72_cont0.2_h180_e13_tp0.4_sl0.5,0.9,0.72,0.2,13,180,0.4,0.5,proxy_m15,45,0.3071,0.1043,-70.8835,-118.1335,-1.735,0.4222,0.2288,0.0,0.2081,2022-05-09 13:15:00,2026-05-04 13:15:00,1.43665
london_oneway_fade,london_oneway_fade_mv1.2_eff0.72_cont0.2_h90_e13_tp0.4_sl0.5,1.2,0.72,0.2,13,90,0.4,0.5,proxy_m15,45,0.3071,0.1043,-70.8835,-118.1335,-1.735,0.4222,0.2288,0.0,0.2081,2022-05-09 13:15:00,2026-05-04 13:15:00,1.43665
london_oneway_fade,london_oneway_fade_mv1.2_eff0.72_cont0.2_h180_e13_tp0.4_sl0.5,1.2,0.72,0.2,13,180,0.4,0.5,proxy_m15,45,0.3071,0.1043,-70.8835,-118.1335,-1.735,0.4222,0.2288,0.0,0.2081,2022-05-09 13:15:00,2026-05-04 13:15:00,1.43665
