stage,decision_scope,promotion,candidate,family,side,horizon_hours,lookback_hours,trigger_type,threshold,entry_idx,entry_utc,exit_idx,exit_utc,year,entry_close,exit_close,final_bps,mfe_bps,mae_bps,max_adverse_hour,max_favorable_hour,source_stage39a_residual_bps,source_stage39a_event_clock_n
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,24061,2026-03-13T21:00:00+00:00,24133,2026-03-18T20:00:00+00:00,2026,5016.22,4852.71,-325.9625773989183,66.64380748850674,-363.0024201490367,67,0,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,24188,2026-03-23T02:00:00+00:00,24260,2026-03-26T02:00:00+00:00,2026,4354.21,4535.44,416.2178673054351,569.3799793762811,-586.2601941569201,7,50,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,24686,2026-04-21T17:00:00+00:00,24758,2026-04-24T17:00:00+00:00,2026,4738.92,4726.2,-26.84155883619144,91.58204823039861,-171.55807652376564,62,0,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,24798,2026-04-28T08:00:00+00:00,24870,2026-05-01T08:00:00+00:00,2026,4631.9,4604.7,-58.72320214166948,77.37645458667063,-263.06699194714844,32,0,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,25107,2026-05-15T03:00:00+00:00,25179,2026-05-20T02:00:00+00:00,2026,4629.95,4489.12,-304.171751314809,60.259830019764316,-356.61292238577056,62,0,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,25310,2026-05-27T13:00:00+00:00,25382,2026-06-01T12:00:00+00:00,2026,4445.54,4495.83,113.12461478245606,336.74199309870147,-177.5487342370108,18,53,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,25482,2026-06-05T16:00:00+00:00,25554,2026-06-10T16:00:00+00:00,2026,4365.74,4179.35,-426.93793033941387,125.84349961289654,-536.999454846142,71,0,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,35,2022-05-03T10:00:00+00:00,107,2022-05-06T10:00:00+00:00,2022,1855.49,1873.94,99.43465068526392,291.51329298460206,-28.402201035845344,1,53,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,132,2022-05-09T11:00:00+00:00,204,2022-05-12T11:00:00+00:00,2022,1865.4,1846.99,-98.69196955076708,35.22032807976805,-179.6397555484075,40,0,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,212,2022-05-12T19:00:00+00:00,284,2022-05-17T19:00:00+00:00,2022,1825.29,1821.08,-23.064828054720763,63.661116863622524,-212.02110349588298,39,0,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,507,2022-05-31T03:00:00+00:00,579,2022-06-03T03:00:00+00:00,2022,1846.26,1873.09,145.32081072004877,149.49140424425522,-97.38606696781615,33,72,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,619,2022-06-06T19:00:00+00:00,691,2022-06-09T19:00:00+00:00,2022,1842.11,1848.48,34.57991108023029,93.96832979572389,-28.554212289167992,9,47,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,741,2022-06-13T21:00:00+00:00,813,2022-06-16T21:00:00+00:00,2022,1825.65,1849.12,128.5569523183505,147.34478131076534,-113.6033741407172,25,70,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,876,2022-06-21T13:00:00+00:00,948,2022-06-24T13:00:00+00:00,2022,1833.26,1825.01,-45.001800072003164,78.60314412576619,-66.92994992526957,69,27,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,950,2022-06-24T15:00:00+00:00,1022,2022-06-29T15:00:00+00:00,2022,1821.86,1831.12,50.827176621695,104.12435642694895,-54.614514836485164,69,19,8.961150568044353,177
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,48,range_bottom,0.05,1118,2022-07-05T16:00:00+00:00,1190,2022-07-08T16:00:00+00:00,2022,1786.08,1736.71,-276.4153901281008,79.55970617217645,-302.3380811609777,27,0,8.961150568044353,177
