decision,filter_name,rule,retained_events,removed_events,retained_ratio,pf_x1,pf_x4,pf_x6,total_x1,total_x4,total_x6,win_rate_x4,median_x4,improvement_pf_x4
STAGE25A_REJECT,asia_range_middle_30_70,keep rows satisfying asia_range_middle_30_70,189,279,0.4038,4.639688875142616,1.914824448573033,0.8123536089876672,304.08101,105.63101000000002,-26.668989999999937,0.8359788359788359,1.0870000000000002,-0.9647544941757153
STAGE25A_REJECT,early_ny_range_middle_30_70,keep rows satisfying early_ny_range_middle_30_70,189,279,0.4038,4.20692458314702,1.8797852531279957,0.9100877162249945,315.99348000000003,117.54348000000005,-14.756519999999927,0.8201058201058201,1.1495700000000002,-0.9997936896207527
STAGE25A_REJECT,early_ny_range_middle_20_80,keep rows satisfying early_ny_range_middle_20_80,282,186,0.6026,4.321097949018108,1.8381994036318934,0.8377584987299573,454.60743,158.50743000000006,-38.89256999999989,0.8191489361702128,1.0360000000000005,-1.041379539116855
STAGE25A_REJECT,london_range_middle_30_70,keep rows satisfying london_range_middle_30_70,186,282,0.3974,4.580965731992108,1.776111392709683,0.6831770371012703,281.47379,86.17379000000003,-44.02620999999993,0.8333333333333334,0.9914300000000004,-1.1034675500390654
STAGE25A_REJECT,keep_long_only,long-only diagnostic,264,204,0.5641,3.6617702482267536,1.6220782577814052,0.8344819252537774,415.07237999999995,137.87238000000002,-46.9276199999999,0.7424242424242424,0.8641399999999999,-1.2575006849673431
STAGE25A_REJECT,asia_range_middle_20_80,keep rows satisfying asia_range_middle_20_80,282,186,0.6026,3.693589497119398,1.4814065749334064,0.6166684055307898,395.25304,99.15304000000003,-98.2469599999999,0.7872340425531915,1.0274300000000005,-1.398172367815342
STAGE25A_REJECT,london_range_middle_20_80,keep rows satisfying london_range_middle_20_80,282,186,0.6026,3.5952292220319952,1.4232046677824928,0.5750938638993518,382.79971,86.69971000000002,-110.7002899999999,0.7872340425531915,0.9914300000000004,-1.4563742749662556
STAGE25A_REJECT,prior_day_range_middle_20_80,keep rows satisfying prior_day_range_middle_20_80,285,183,0.609,3.251869117841959,1.3306009403585777,0.597908690521936,377.71247,78.46247000000001,-121.03752999999992,0.7649122807017544,0.8641399999999999,-1.5489780023901707
STAGE25A_REJECT,early_ny_range_drop_high20,keep rows satisfying early_ny_range_drop_high20,375,93,0.8013,3.3300263109481856,1.274835176434566,0.5318558044286342,474.56967,80.81967000000004,-181.68032999999986,0.7466666666666667,0.7728600000000001,-1.6047437663141824
STAGE25A_REJECT,prior_day_range_drop_high20,keep rows satisfying prior_day_range_drop_high20,375,93,0.8013,3.139442897282038,1.1906885813243082,0.47971995445141935,451.12877000000003,57.37877000000003,-205.12122999999988,0.7493333333333333,0.7715700000000001,-1.6888903614244402
STAGE25A_REJECT,early_ny_range_drop_high30,keep rows satisfying early_ny_range_drop_high30,327,141,0.6987,3.1659966118925804,1.1728404691942005,0.4642464677459766,388.06422,44.714220000000026,-184.18577999999988,0.7431192660550459,0.6764300000000003,-1.7067384735545479
STAGE25A_REJECT,prior_day_range_middle_30_70,keep rows satisfying prior_day_range_middle_30_70,195,273,0.4167,2.7574843118118824,1.156584259949048,0.5401215795823578,234.03343,29.283430000000006,-107.21656999999993,0.7333333333333333,0.8641399999999999,-1.7229946827997005
STAGE25A_REJECT,asia_range_drop_high20,keep rows satisfying asia_range_drop_high20,375,93,0.8013,3.1455321130863565,1.1374045379415876,0.42029681548590225,433.75636999999995,40.00637000000002,-222.49362999999988,0.752,0.7715700000000001,-1.7421744048071608
STAGE25A_REJECT,asia_range_drop_high30,keep rows satisfying asia_range_drop_high30,330,138,0.7051,3.0751434027757756,1.0668857523077995,0.369169239043508,363.46504,16.965040000000023,-214.0349599999999,0.7484848484848485,0.6764300000000003,-1.812693190440949
STAGE25A_REJECT,london_range_drop_high20,keep rows satisfying london_range_drop_high20,375,93,0.8013,2.7379089241293415,1.001112736471637,0.3742298950582375,394.10837000000004,0.35837000000002206,-262.1416299999999,0.736,0.69529,-1.8784662062771114
STAGE25A_REJECT,prior_day_range_drop_high30,keep rows satisfying prior_day_range_drop_high30,330,138,0.7051,2.719744298706983,0.9910826646737738,0.3823411238814868,343.94174000000004,-2.558259999999968,-233.5582599999999,0.7242424242424242,0.5572900000000001,-1.8884962780749746
STAGE25A_REJECT,london_range_drop_high30,keep rows satisfying london_range_drop_high30,327,141,0.6987,2.6835687343414527,0.9049040460316387,0.2960800735641167,317.39855,-25.95144999999998,-254.85144999999991,0.7308868501529052,0.63314,-1.9746748967171097
