timeframe,group,key,n,min,p10,median,p90,p95,p99,max,mean
M5,hour_utc,1,255,0.6451204700446994,0.9159319469909512,2.0179547524095645,2.7158632413011543,2.745152342697992,2.8408527932323713,2.999018245913838,1.8871439532580507
M5,hour_utc,2,16,1.2875122045427723,1.3243406074063255,1.8467562577147396,2.522972462078462,2.70988749093016,2.740933543803375,2.7486950570216786,1.865212187316789
M5,hour_utc,3,2,1.1258757202086247,1.1296079036911406,1.1445366376212045,1.1594653715512684,1.1613314632925262,1.1628243366855326,1.1631975550337843,1.1445366376212045
M5,hour_utc,4,1,0.9283723312103056,0.9283723312103056,0.9283723312103056,0.9283723312103056,0.9283723312103056,0.9283723312103056,0.9283723312103056,0.9283723312103056
M5,hour_utc,5,1,1.9789538260598534,1.9789538260598534,1.9789538260598534,1.9789538260598534,1.9789538260598534,1.9789538260598534,1.9789538260598534,1.9789538260598534
M5,hour_utc,6,0,,,,,,,,
M5,hour_utc,7,1,2.491514441022228,2.491514441022228,2.491514441022228,2.491514441022228,2.491514441022228,2.491514441022228,2.491514441022228,2.491514441022228
M5,hour_utc,8,1,1.3986873531113375,1.3986873531113375,1.3986873531113375,1.3986873531113375,1.3986873531113375,1.3986873531113375,1.3986873531113375,1.3986873531113375
M5,hour_utc,9,5,0.8233657476418289,0.8236137557589807,0.909426552190952,1.134903131694016,1.1623879138550246,1.1843757395838317,1.1898726960160335,0.9598199097989024
M5,hour_utc,10,0,,,,,,,,
M5,hour_utc,11,2,1.7739071443510943,1.7740669643370952,1.7747062442810986,1.775345524225102,1.7754254342181024,1.7754893622125028,1.7755053442111028,1.7747062442810986
M5,hour_utc,12,5,0.8856480729774012,1.044606332527732,1.3631913548882804,1.457726558458868,1.4581978447908808,1.4585748738564912,1.4586691311228939,1.2893729960609268
M5,hour_utc,13,3,1.3863856924996532,1.418701284762404,1.5479636538134083,1.589701746498215,1.594919008083816,1.5990928173522967,1.6001362696694168,1.5114952053274928
M5,hour_utc,14,3,1.54926268006951,1.5595220799712637,1.6005596795782784,1.6009911975507392,1.601045137297297,1.601088289094543,1.6010990770438545,1.5836404788972143
M5,hour_utc,15,2,1.1211974388647077,1.164066994258699,1.3355452158346646,1.5070234374106304,1.528458215107626,1.5456060372652225,1.5498929928046217,1.3355452158346646
M5,hour_utc,16,4,1.070828415808793,1.1895365855248574,1.4683215945326975,2.204998337076308,2.362472079120576,2.4884510727559914,2.5199458211648453,1.6318543565097583
M5,hour_utc,17,1,1.3877820080185228,1.3877820080185228,1.3877820080185228,1.3877820080185228,1.3877820080185228,1.3877820080185228,1.3877820080185228,1.3877820080185228
M5,hour_utc,18,3,0.8239692659463802,0.9071131390648465,1.2396886315387117,1.5647982998365302,1.6054370083737575,1.6379479752035393,1.6460757169109848,1.236577871465359
M5,hour_utc,19,3,1.1383417206983726,1.1386468632421967,1.1398674334174934,2.3540215619456006,2.5057908280116137,2.6272062408644246,2.657560094077627,1.6452564160644976
M5,hour_utc,20,3,2.3339719339874936,2.398591413637719,2.6570693322386205,2.6672931679083987,2.668571147367121,2.669593530934099,2.6698491268258433,2.5536301310173193
M5,hour_utc,21,3,1.748033462354851,1.8591197838033913,2.303465069597552,2.4665967533343793,2.4869882138014825,2.5033013821751653,2.507379674268586,2.186292735406996
M5,hour_utc,22,233,0.6333511767847563,0.7964413454002435,1.1703338651647384,2.3099418000403813,2.561484401970245,3.167822646590076,3.8926817582944064,1.3635669525621457
M5,hour_utc,23,4451,0.5795066392515449,0.7930556647187238,1.4376118996433398,2.780556955488745,3.0399336743194887,4.470594668260724,9.858266987468834,1.6779848692970674
M5,weekday,Friday,2415,0.597996023326445,0.7815079251336672,1.3101366363333644,2.476853948617408,2.6747154256631704,2.861146343504028,3.6011728743038307,1.5587687181608503
M5,weekday,Monday,3087,0.6124264867389055,0.7971195602481048,1.3236668881970277,2.558622883206601,2.7265869252773642,3.3268774135992616,8.63927342616907,1.5966524542711156
M5,weekday,Sunday,2712,0.5920116318445425,0.7806781862022785,1.566624993516513,2.9222208948959993,3.1861569735359496,4.507716789679639,9.858266987468834,1.7161339855447395
M5,weekday,Thursday,2917,0.5795066392515449,0.7943145481070121,1.3163994219125967,2.508255595806561,2.6974208611222203,2.8825590693579946,3.590648924301427,1.55275442228853
M5,weekday,Tuesday,2874,0.5953198699455053,0.8024658406246464,1.2901651316039657,2.5065371474493774,2.6970300162710745,2.849916049032509,4.361897269530201,1.5450525860556479
M5,weekday,Wednesday,2857,0.624721803571847,0.7880353106276627,1.298629213083061,2.502871264010734,2.6997045720851447,2.9930065411840268,4.5485645265479455,1.5489884078357377
M5,quarter,2022Q2,754,2.6325765553262284,2.6745219179602535,2.7272367776579447,2.9928833316150047,3.0366641366783598,3.544750341374834,9.858266987468834,2.816210014090612
M5,quarter,2022Q3,1097,1.9160380840746243,2.3810333708063087,2.478025957321903,2.8870736236393824,3.207492578528846,3.813513568786985,4.851910933583827,2.5939916588170124
M5,quarter,2022Q4,994,2.0074030591606014,2.325745599677927,2.430350600545545,2.64360769244394,2.8479267190581377,3.603728479428189,6.216156875269107,2.491923758210361
M5,quarter,2023Q1,1000,1.1042375114501903,1.2226243611997158,1.3245974332497608,2.250038773630355,2.292487730301268,3.0667349795797185,8.63927342616907,1.717459865917021
M5,quarter,2023Q2,1002,1.1030762037632447,1.199506852907139,1.7170947608021017,1.9090790603554295,2.0496168001023083,2.5275475435319104,6.857234382273299,1.6401787899894134
M5,quarter,2023Q3,1013,0.7804492265748165,1.733610813095063,1.8921862934116118,2.2514926931370884,2.376585460045841,2.853786375517768,4.361897269530201,1.937857060357966
M5,quarter,2023Q4,1008,1.070223701076791,1.9519424500768394,2.0507877653705693,2.53472507564608,2.746501973219729,3.9940187326731564,7.461190389783753,2.1966159106243333
M5,quarter,2024Q1,1029,1.3863856924996532,1.8309775651668205,1.9656526765432525,2.00659668672084,2.1921408885272005,3.7516622400478026,4.47254972605633,1.9794292872202361
M5,quarter,2024Q2,1028,1.0028340963592763,1.2735541185722774,1.358366184240741,1.7865686934196667,2.0166444990943218,3.0340395565362015,3.872750039803264,1.523648253599593
M5,quarter,2024Q3,1039,1.12250768216195,1.1929745806680696,1.2810722574795104,1.756220077687852,2.009946008341667,2.7298658347867315,6.634433710117213,1.4117904609775096
M5,quarter,2024Q4,1021,1.0762100187978016,1.1292036655408022,1.170131451057365,1.4487394060930927,1.6981708812752132,2.8314331838781435,6.825678277946196,1.2627380524039198
M5,quarter,2025Q1,1006,0.9925971464433003,1.0248488664369417,1.0706651021881073,1.2538126477679903,1.558769474353168,3.596661407779833,6.626316471393933,1.1731369068350175
M5,quarter,2025Q2,1007,0.8641799887490413,0.9159909268472941,0.9351080276007693,0.9962380772111615,1.0403389859181422,2.1861729143063164,5.914412829319628,0.9858877960552677
M5,quarter,2025Q3,1015,0.6736641369714652,0.7238681173548134,0.7929984338280932,0.8989771443332241,1.0447841567272675,1.0511474696508807,1.0521102701744023,0.807192275134256
M5,quarter,2025Q4,1023,0.5795066392515449,0.6475430597558429,0.7123624945598879,0.7914661941923042,0.8756057975572217,1.719791662705168,2.101844005728129,0.7376390465891021
M5,quarter,2026Q1,1020,0.6257834515477384,0.7572832557993969,0.8723924370898362,1.0128639363352514,1.2266980971354835,1.3828994767759726,2.4555877322223916,0.897044973503938
M5,quarter,2026Q2,806,0.7854793801327459,0.8139890509430914,0.9260581231453039,0.9688615602483472,0.979919748320334,1.1806502254357847,1.185830641424578,0.9150231336988787
