candidate_id,family_id,direction,hold_bars,news_mode,params_json,event_count,mean_gross_bps,mean_cost_bps,mean_net_bps,median_net_bps,win_rate,total_net_bps,train_event_count,train_mean_net_bps,oos_event_count,oos_mean_net_bps,quarter_count,worst_quarter_mean_net_bps,best_quarter_mean_net_bps,max_year_event_pct,benchmark_mean_net_bps,residual_vs_benchmark_bps,bootstrap_mean_p05_bps,classification
EXTCTX_A_LONG_H16_Q0.75_avoid_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,16,exclude,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.75}",5556,1.8228244313684288,14.068842327419857,-12.24601789605143,-1.5467673372865365,0.4794816414686825,-68038.87543046175,3508,-14.115378378558665,2048,-9.044007850819309,17,-27.244007026045832,-4.639471974926153,0.2593592512598992,-11.119379095238125,-1.1266388008133053,-13.878546936774681,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_LONG_H16_Q0.75_avoid_tag_only,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,16,tag_only,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.75}",5556,1.8228244313684288,14.068842327419857,-12.24601789605143,-1.5467673372865365,0.4794816414686825,-68038.87543046175,3508,-14.115378378558665,2048,-9.044007850819309,17,-27.244007026045832,-4.639471974926153,0.2593592512598992,-11.119379095238125,-1.1266388008133053,-13.80857127923079,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_C_SHORT_H4_lagged_reference_sign_exclude,EXTCTX_C_REFERENCE_FEED_SANITY,short,4,exclude,"{""confirm_mode"": ""lagged_reference_sign""}",11475,-0.6587838573474466,11.632232259408594,-12.291016116756042,-1.4588679184934783,0.45742919389978215,-141039.4099397756,7611,-12.363968816285958,3864,-12.147319689188183,17,-17.840407295159622,-8.401445566892543,0.25864923747276686,-12.193059299741574,-0.09795681701446846,-13.172507396899363,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_C_SHORT_H4_lagged_reference_sign_tag_only,EXTCTX_C_REFERENCE_FEED_SANITY,short,4,tag_only,"{""confirm_mode"": ""lagged_reference_sign""}",11475,-0.6587838573474466,11.632232259408594,-12.291016116756042,-1.4588679184934783,0.45742919389978215,-141039.4099397756,7611,-12.363968816285958,3864,-12.147319689188183,17,-17.840407295159622,-8.401445566892543,0.25864923747276686,-12.193059299741574,-0.09795681701446846,-13.117024193197572,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_SHORT_H4_Q0.50_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,short,4,exclude,"{""context_mode"": ""confirm"", ""dxy_slope_quantile"": 0.5}",7371,-0.5207114011469129,11.777238039677755,-12.297949440824668,-1.599749159331143,0.45353412020078687,-90648.18532831864,4997,-12.40507363574005,2374,-12.07246519398719,17,-21.21579388979388,-9.257676482973727,0.27499660832994166,-12.193059299741574,-0.10489014108309469,-13.221160469919816,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_SHORT_H4_Q0.50_confirm_tag_only,EXTCTX_A_DXY_YIELD_TREND_FILTER,short,4,tag_only,"{""context_mode"": ""confirm"", ""dxy_slope_quantile"": 0.5}",7371,-0.5207114011469129,11.777238039677755,-12.297949440824668,-1.599749159331143,0.45353412020078687,-90648.18532831864,4997,-12.40507363574005,2374,-12.07246519398719,17,-21.21579388979388,-9.257676482973727,0.27499660832994166,-12.193059299741574,-0.10489014108309469,-13.15858471234317,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_SHORT_H4_Q0.75_avoid_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,short,4,exclude,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.75}",16185,-0.6052318007653932,11.789677267884452,-12.394909068649845,-1.599749159331143,0.4536916898362682,-200611.60327609774,10611,-12.628662538970223,5574,-11.949921972566326,17,-18.580859064393984,-9.418076576114114,0.24788384306456596,-12.193059299741574,-0.20184976890827144,-13.137945896360566,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_SHORT_H4_Q0.75_avoid_tag_only,EXTCTX_A_DXY_YIELD_TREND_FILTER,short,4,tag_only,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.75}",16185,-0.6052318007653932,11.789677267884452,-12.394909068649845,-1.599749159331143,0.4536916898362682,-200611.60327609774,10611,-12.628662538970223,5574,-11.949921972566326,17,-18.580859064393984,-9.418076576114114,0.24788384306456596,-12.193059299741574,-0.20184976890827144,-13.037291699971432,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_SHORT_H4_Q0.75_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,short,4,exclude,"{""context_mode"": ""confirm"", ""dxy_slope_quantile"": 0.75}",3617,0.25656493430734134,12.65796997716959,-12.40140504286225,-1.1578987996441192,0.4641968482167542,-44855.88204003275,2669,-12.808495128206319,948,-11.255283273048615,17,-19.809492571532843,-6.1744905787191176,0.2737074923970141,-12.193059299741574,-0.20834574312067566,-13.792679142540791,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_SHORT_H4_Q0.75_confirm_tag_only,EXTCTX_A_DXY_YIELD_TREND_FILTER,short,4,tag_only,"{""context_mode"": ""confirm"", ""dxy_slope_quantile"": 0.75}",3617,0.25656493430734134,12.65796997716959,-12.40140504286225,-1.1578987996441192,0.4641968482167542,-44855.88204003275,2669,-12.808495128206319,948,-11.255283273048615,17,-19.809492571532843,-6.1744905787191176,0.2737074923970141,-12.193059299741574,-0.20834574312067566,-13.918320465604795,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
