trades,total_x4,pf_x4,median_x4,wr,dd_x4,variant,period_type,period,start_utc,end_utc
107,-158.56,0.855985,0.52,0.514019,-293.24,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,year,2023,2023-01-19T07:00:00+00:00,2023-12-19T10:00:00+00:00
96,-1008.04,0.495021,-8.84,0.322917,-1076.64,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,year,2024,2024-01-03T05:00:00+00:00,2024-12-31T10:00:00+00:00
92,-634.92,0.785364,-9.3,0.413043,-765.08,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,year,2025,2025-01-14T04:00:00+00:00,2025-12-31T16:00:00+00:00
46,2436.16,2.427393,29.0,0.586957,-364.2,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,year,2026,2026-02-02T11:00:00+00:00,2026-06-09T04:00:00+00:00
20,16.84,1.064177,-2.4,0.4,-175.08,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2022Q2,2022-05-10T06:00:00+00:00,2022-06-30T15:00:00+00:00
28,-58.72,0.841725,-4.9,0.464286,-193.04,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2022Q3,2022-07-03T23:00:00+00:00,2022-09-27T03:00:00+00:00
20,-64.16,0.794649,-2.42,0.4,-244.04,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2022Q4,2022-10-11T14:00:00+00:00,2022-12-27T04:00:00+00:00
20,-102.48,0.592168,-4.56,0.4,-151.36,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2023Q1,2023-01-19T07:00:00+00:00,2023-03-29T13:00:00+00:00
33,-95.52,0.763915,-1.56,0.454545,-178.2,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2023Q2,2023-04-10T23:00:00+00:00,2023-06-29T17:00:00+00:00
32,134.28,1.664226,4.22,0.65625,-69.28,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2023Q3,2023-07-06T05:00:00+00:00,2023-09-29T10:00:00+00:00
22,-94.84,0.609648,0.02,0.5,-143.92,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2023Q4,2023-10-03T12:00:00+00:00,2023-12-19T10:00:00+00:00
25,-177.68,0.450655,-6.32,0.28,-246.28,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2024Q1,2024-01-03T05:00:00+00:00,2024-03-20T15:00:00+00:00
21,-286.16,0.383329,-15.64,0.285714,-412.64,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2024Q2,2024-04-23T02:00:00+00:00,2024-06-27T05:00:00+00:00
15,-202.0,0.453167,-28.4,0.333333,-259.8,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2024Q3,2024-07-22T02:00:00+00:00,2024-09-04T14:00:00+00:00
35,-342.2,0.592289,-12.48,0.371429,-438.8,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2024Q4,2024-10-01T04:00:00+00:00,2024-12-31T10:00:00+00:00
14,-138.32,0.494814,-0.78,0.5,-185.88,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2025Q1,2025-01-14T04:00:00+00:00,2025-03-26T03:00:00+00:00
40,-186.44,0.85784,-10.46,0.45,-345.6,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2025Q2,2025-04-03T17:00:00+00:00,2025-06-30T19:00:00+00:00
19,-125.12,0.672838,-6.16,0.368421,-299.12,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2025Q3,2025-07-09T17:00:00+00:00,2025-09-26T11:00:00+00:00
19,-185.04,0.813166,-24.64,0.315789,-765.08,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2025Q4,2025-10-22T09:00:00+00:00,2025-12-31T16:00:00+00:00
23,1872.84,2.884069,60.16,0.608696,-364.2,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2026Q1,2026-02-02T11:00:00+00:00,2026-03-24T12:00:00+00:00
23,563.32,1.790425,8.56,0.565217,-173.44,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,quarter,2026Q2,2026-04-07T11:00:00+00:00,2026-06-09T04:00:00+00:00
9,-7.12,0.94851,-8.12,0.333333,-108.44,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2022-05,2022-05-10T06:00:00+00:00,2022-05-27T04:00:00+00:00
11,23.96,1.193039,-1.24,0.454545,-84.12,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2022-06,2022-06-01T05:00:00+00:00,2022-06-30T15:00:00+00:00
11,-90.6,0.370133,-4.76,0.454545,-129.24,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2022-07,2022-07-03T23:00:00+00:00,2022-07-27T11:00:00+00:00
