candidate_id,entry_time_utc,exit_time_utc,year,month,direction,entry_price,exit_price,gross_bps,stress_net_bps,entry_spread_cost_bps,h1_range_bps,h1_threshold_bps
S49_MTF_H1W120_P75_M15S40_M5S20_H48,2022-05-09T18:00:00Z,2022-05-09T23:00:00Z,2022,2022-05,SHORT,1857.26,1853.45,20.51409064966642,17.5320869165127,2.6921378805336893,38.36392928536346,36.79513700397965
S49_MTF_H1W120_P75_M15S20_M5S20_H48,2022-05-09T09:00:00Z,2022-05-09T13:00:00Z,2022,2022-05,SHORT,1866.02,1867.03,-5.4125893613144065,-8.394593094468128,2.6794996838190372,42.40377398949331,35.02723837904509
S49_MTF_H1W120_P75_M15S20_M5S20_H48,2022-05-09T11:00:00Z,2022-05-09T15:00:00Z,2022,2022-05,SHORT,1858.41,1861.57,-17.00378280357862,-19.98578653673234,2.690471962591678,42.59323993654076,35.02723837904509
S49_MTF_H1W120_P75_M15S20_M5S20_H48,2022-05-09T13:00:00Z,2022-05-09T17:00:00Z,2022,2022-05,LONG,1867.03,1861.34,-30.476210880382503,-33.45821461353623,2.6780501652356956,51.118930632737424,35.99916671497577
S49_MTF_H1W120_P75_M15S20_M5S20_H48,2022-05-09T15:00:00Z,2022-05-09T19:00:00Z,2022,2022-05,SHORT,1861.57,1854.54,37.76382300961002,34.7818192764563,2.6859049082226294,45.690818295678724,36.460619122989556
S49_MTF_H1W120_P75_M15S20_M5S20_H48,2022-05-09T18:00:00Z,2022-05-09T23:00:00Z,2022,2022-05,SHORT,1857.26,1853.45,20.51409064966642,17.5320869165127,2.6921378805336893,38.36392928536346,36.79513700397965
S49_MTF_H1W72_P75_M15S20_M5S20_H48,2022-05-05T02:00:00Z,2022-05-05T06:00:00Z,2022,2022-05,LONG,1900.67,1899.14,-8.04979296774281,-11.031796700896532,2.6306512966480238,39.41296260241324,34.41870522979025
S49_MTF_H1W72_P75_M15S20_M5S20_H48,2022-05-05T08:00:00Z,2022-05-05T12:00:00Z,2022,2022-05,SHORT,1892.1,1900.05,-42.01680672268932,-44.99881045584304,2.642566460546483,34.724054587481156,33.879271939765204
S49_MTF_H1W72_P75_M15S20_M5S20_H48,2022-05-05T13:00:00Z,2022-05-05T17:00:00Z,2022,2022-05,LONG,1906.65,1878.51,-147.58870269845067,-150.5707064316044,2.622400545459313,65.71494503650233,34.41870522979025
S49_MTF_H1W72_P75_M15S20_M5S20_H48,2022-05-05T14:00:00Z,2022-05-05T18:00:00Z,2022,2022-05,SHORT,1891.81,1873.88,94.77695963125174,91.79495589809802,2.6429715457683383,81.69641443514433,34.62869714643586
