candidate_id,entry_time_utc,exit_time_utc,direction,entry_price,exit_price,gross_bps,stress_cost_bps,stress_net_bps,h1_time_utc,h1_range_bps,h1_range_percentile_rank,entry_spread_cost_bps,session_utc,year
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-25T15:05:00Z,2022-05-25T16:05:00Z,SHORT,1849.26,1846.05,17.358294669219237,2.982003733153722,14.376290936065516,2022-05-25T15:00:00Z,50.010023677551935,98.61111111111111,2.7037842163892587,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-25T18:05:00Z,2022-05-25T19:05:00Z,LONG,1850.36,1854.17,20.5905877775145,2.982003733153722,17.60858404436078,2022-05-25T18:00:00Z,38.01789267629762,87.5,2.7021768736894445,new_york,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-26T13:05:00Z,2022-05-26T14:05:00Z,LONG,1846.66,1849.96,17.870100614081394,2.982003733153722,14.888096880927673,2022-05-26T13:00:00Z,43.80651581361089,93.05555555555556,2.7075910021335816,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-27T13:05:00Z,2022-05-27T14:05:00Z,LONG,1859.77,1854.26,-29.627319507250846,2.982003733153722,-32.60932324040457,2022-05-27T13:00:00Z,33.8926427640014,84.72222222222223,2.688504492491007,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-30T13:05:00Z,2022-05-30T14:05:00Z,LONG,1857.46,1855.38,-11.198087711175086,2.982003733153722,-14.180091444328808,2022-05-30T13:00:00Z,32.54595434959172,86.11111111111111,2.6918480074941047,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-31T00:05:00Z,2022-05-31T01:05:00Z,SHORT,1851.74,1847.96,20.41323295927059,2.982003733153722,17.43122922611687,2022-05-31T00:00:00Z,35.47712673187934,90.27777777777777,2.700163089850627,asia,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-31T09:05:00Z,2022-05-31T10:05:00Z,SHORT,1851.67,1850.18,8.046790194797177,2.982003733153722,5.064786461643456,2022-05-31T09:00:00Z,26.972972972971796,83.33333333333333,2.7002651660393053,london,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-31T11:05:00Z,2022-05-31T12:05:00Z,SHORT,1847.4,1850.05,-14.344484139871515,2.982003733153722,-17.326487873025236,2022-05-31T11:00:00Z,33.159511857366006,90.27777777777777,2.7065064414853306,london,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-31T12:05:00Z,2022-05-31T13:05:00Z,LONG,1850.05,1849.17,-4.756628199237219,2.982003733153722,-7.738631932390941,2022-05-31T12:00:00Z,27.748328609445693,84.72222222222223,2.7026296586578744,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-31T14:05:00Z,2022-05-31T15:05:00Z,SHORT,1845.03,1844.99,0.21679864284029862,2.982003733153722,-2.7652050903134233,2022-05-31T14:00:00Z,61.89433520497796,100.0,2.7099830355061982,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-31T15:05:00Z,2022-05-31T16:05:00Z,SHORT,1844.99,1841.87,16.910660762389597,2.982003733153722,13.928657029235875,2022-05-31T15:00:00Z,37.485081913855275,91.66666666666667,2.710041788844384,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-31T19:05:00Z,2022-05-31T20:05:00Z,SHORT,1838.64,1835.82,15.337423312884326,2.982003733153722,12.355419579730604,2022-05-31T19:00:00Z,31.047104448994606,83.33333333333333,2.719401296610538,new_york,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-06-01T04:05:00Z,2022-06-01T05:05:00Z,SHORT,1833.49,1831.82,9.10831256238143,2.982003733153722,6.126308829227709,2022-06-01T04:00:00Z,26.78069826170826,77.77777777777777,2.727039689335639,asia,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-06-01T07:05:00Z,2022-06-01T08:05:00Z,LONG,1836.0,1835.44,-3.050108932461576,2.982003733153722,-6.032112665615298,2022-06-01T07:00:00Z,29.396846520101118,83.33333333333333,2.723311546840959,london,2022
