replay_mode,signal_server_time,signal_utc_time,entry_server_time,entry_utc_time,exit_server_time,exit_utc_time,session_utc,entry_price,close_h1,sma10,distance_usd,tp_usd,sl_usd,time_exit_h1_bars,exit_reason,gross_usd,net_usd,ambiguous_exit
overlap_every_signal,2022-06-16 20:00:00,2022-06-16 17:00:00,2022-06-16 21:00:00,2022-06-16 18:00:00,2022-06-17 09:00:00,2022-06-17 06:00:00,new_york,1848.05,1848.07,1833.443,14.627,24.0,15.0,12,time_exit,-2.93,-3.28,False
overlap_every_signal,2022-06-16 21:00:00,2022-06-16 18:00:00,2022-06-16 22:00:00,2022-06-16 19:00:00,2022-06-17 10:00:00,2022-06-17 07:00:00,new_york,1849.16,1849.12,1835.017,14.103,24.0,15.0,12,time_exit,-5.64,-5.99,False
overlap_every_signal,2022-06-16 22:00:00,2022-06-16 19:00:00,2022-06-16 23:00:00,2022-06-16 20:00:00,2022-06-17 11:00:00,2022-06-17 08:00:00,new_york,1852.13,1852.04,1837.233,14.807,24.0,15.0,12,time_exit,-3.32,-3.67,False
overlap_every_signal,2022-06-16 23:00:00,2022-06-16 20:00:00,2022-06-17 01:00:00,2022-06-16 22:00:00,2022-06-17 13:00:00,2022-06-17 10:00:00,new_york,1855.45,1856.45,1840.918,15.532,24.0,15.0,12,time_exit,-7.52,-7.87,False
overlap_every_signal,2022-06-22 16:00:00,2022-06-22 13:00:00,2022-06-22 17:00:00,2022-06-22 14:00:00,2022-06-23 05:00:00,2022-06-23 02:00:00,london_ny_overlap,1844.43,1844.42,1831.19,13.23,24.0,15.0,12,time_exit,-11.5,-11.85,False
overlap_every_signal,2022-07-01 18:00:00,2022-07-01 15:00:00,2022-07-01 19:00:00,2022-07-01 16:00:00,2022-07-01 22:58:00,2022-07-01 19:58:00,london_ny_overlap,1806.11,1806.11,1795.218,10.892,24.0,15.0,12,time_exit,-0.29,-0.64,False
overlap_every_signal,2022-07-01 21:00:00,2022-07-01 18:00:00,2022-07-01 22:00:00,2022-07-01 19:00:00,2022-07-01 22:58:00,2022-07-01 19:58:00,new_york,1808.78,1808.81,1797.793,11.017,24.0,15.0,12,time_exit,-2.96,-3.31,False
overlap_every_signal,2022-07-13 17:00:00,2022-07-13 14:00:00,2022-07-13 18:00:00,2022-07-13 15:00:00,2022-07-14 04:13:00,2022-07-14 01:13:00,london_ny_overlap,1742.11,1742.15,1726.984,15.166,24.0,15.0,12,stop_loss,-15.0,-15.35,False
overlap_every_signal,2022-07-21 16:00:00,2022-07-21 13:00:00,2022-07-21 17:00:00,2022-07-21 14:00:00,2022-07-22 05:00:00,2022-07-22 02:00:00,london_ny_overlap,1705.36,1705.63,1691.271,14.359,24.0,15.0,12,time_exit,11.25,10.9,False
overlap_every_signal,2022-07-21 17:00:00,2022-07-21 14:00:00,2022-07-21 18:00:00,2022-07-21 15:00:00,2022-07-22 06:00:00,2022-07-22 03:00:00,london_ny_overlap,1711.54,1711.48,1693.178,18.302,24.0,15.0,12,time_exit,2.72,2.37,False
overlap_every_signal,2022-07-21 18:00:00,2022-07-21 15:00:00,2022-07-21 19:00:00,2022-07-21 16:00:00,2022-07-22 07:00:00,2022-07-22 04:00:00,london_ny_overlap,1713.1,1713.09,1695.182,17.908,24.0,15.0,12,time_exit,0.6,0.25,False
overlap_every_signal,2022-07-21 19:00:00,2022-07-21 16:00:00,2022-07-21 20:00:00,2022-07-21 17:00:00,2022-07-22 08:00:00,2022-07-22 05:00:00,new_york,1711.57,1711.56,1697.409,14.151,24.0,15.0,12,time_exit,1.6,1.25,False
overlap_every_signal,2022-07-21 20:00:00,2022-07-21 17:00:00,2022-07-21 21:00:00,2022-07-21 18:00:00,2022-07-22 09:00:00,2022-07-22 06:00:00,new_york,1713.7,1713.69,1699.846,13.844,24.0,15.0,12,time_exit,2.03,1.68,False
overlap_every_signal,2022-07-21 21:00:00,2022-07-21 18:00:00,2022-07-21 22:00:00,2022-07-21 19:00:00,2022-07-22 10:00:00,2022-07-22 07:00:00,new_york,1714.83,1714.9,1702.846,12.054,24.0,15.0,12,time_exit,3.45,3.1,False
