feature,gate,threshold,status,retained_events,retained_ratio,pf_x4,pf_x6,total_x4,win_rate_x4,lift_pf_x4,non_null_ratio,rank_score
h1_atr20_pct_rank_250,h1_atr20_pct_rank_250_ge_q35,0.2,numeric_quantile,11689.0,0.6512,0.320669,0.196282,-17525.68117,0.312259,0.036422,0.9983,-34.965869839999996
london_eff,london_eff_le_q65,0.593151,numeric_quantile,11682.0,0.6508,0.272015,0.157492,-17629.22515,0.287194,-0.012232,1.0,-35.2313093
prior_day_range,prior_day_range_ge_q35,21.77,numeric_quantile,11681.0,0.6507,0.351212,0.218844,-17729.425705,0.359644,0.066965,1.0,-35.33717541
prior_day_range,prior_day_range_le_q75,47.26,numeric_quantile,13468.0,0.7503,0.134399,0.048729,-18738.79913,0.247624,-0.149848,1.0,-37.61526401
h1_atr20,h1_atr20_le_q75,9.305,numeric_quantile,13458.0,0.7497,0.088226,0.017472,-19011.405,0.240749,-0.196021,0.9994,-38.214463
asia_range,asia_range_le_q75,24.27,numeric_quantile,13471.0,0.7504,0.094714,0.022684,-19069.43689,0.239552,-0.189533,1.0,-38.32273578
london_range,london_range_le_q75,22.54,numeric_quantile,13472.0,0.7505,0.092862,0.021261,-19187.04456,0.239311,-0.191385,1.0,-38.56015887
london_eff,london_eff_ge_q25,0.250509,numeric_quantile,13465.0,0.7501,0.292342,0.170378,-19345.34201,0.296472,0.008095,1.0,-38.63999452
asia_eff,asia_eff_le_q75,0.603175,numeric_quantile,13473.0,0.7505,0.289205,0.166204,-19358.842325,0.304461,0.004958,1.0,-38.67117565
h1_range,h1_range_le_q75,8.98,numeric_quantile,13468.0,0.7503,0.099396,0.02664,-19391.66792,0.2376,-0.184851,1.0,-38.96152684
h1_atr20_pct_rank_250,h1_atr20_pct_rank_250_le_q75,0.656,numeric_quantile,13460.0,0.7498,0.225487,0.116151,-19474.56247,0.280758,-0.05876,0.9983,-38.97884719
asia_range,asia_range_ge_q25,7.05,numeric_quantile,13474.0,0.7506,0.342714,0.207107,-19913.53874,0.372273,0.058467,1.0,-39.71683373
asia_eff,asia_eff_ge_q25,0.221239,numeric_quantile,13487.0,0.7513,0.266352,0.149511,-19980.819275,0.29584,-0.017895,1.0,-39.9421558
london_range,london_range_ge_q25,9.12,numeric_quantile,13485.0,0.7512,0.34199,0.206372,-20033.562455,0.378569,0.057743,1.0,-39.95778891
h1_range,h1_range_ge_q25,3.42,numeric_quantile,13468.0,0.7503,0.341235,0.206271,-20044.485,0.375408,0.056988,1.0,-39.98041425
h1_atr20,h1_atr20_ge_q25,3.9075,numeric_quantile,13456.0,0.7496,0.341522,0.206322,-20060.549735,0.378567,0.057275,0.9994,-40.01224397000001
h1_atr20_pct_rank_250,h1_atr20_pct_rank_250_ge_q25,0.12,numeric_quantile,13501.0,0.7521,0.308679,0.185299,-20042.56401,0.307829,0.024432,0.9983,-40.01437127
prior_day_range,prior_day_range_ge_q25,17.78,numeric_quantile,13469.0,0.7503,0.328485,0.19983,-20224.435595,0.338629,0.044238,1.0,-40.35467569
london_eff,london_eff_le_q75,0.68318,numeric_quantile,13470.0,0.7504,0.271789,0.157238,-20396.54184,0.290349,-0.012458,1.0,-40.76623218
